d1,c1,d2,c2,d3,c3,cluster
46.0,1.05,52.0,0.18,54.0,1.16,1
16.0,0.112,50.0,1.0,52.0,0.33,1
32.0,0.98,42.0,0.625,52.0,0.4,1
42.0,0.69,50.0,2.86,52.0,0.095,1
46.0,0.943,47.0,1.535,52.0,0.645,1
32.0,1.28,42.0,0.62,52.0,0.51,1
42.0,0.66,50.0,2.85,52.0,0.1,1
32.0,1.82,8.0,0.718,52.0,0.473,2
7.0,0.685,52.0,0.175,46.0,0.23,1
32.0,1.15,42.0,0.618,52.0,0.485,1
16.0,0.0165,34.0,2.6,71.0,0.0,2
7.0,0.262,52.0,0.291,71.0,0.0,1
32.0,1.73,8.0,0.68,52.0,0.495,2
32.0,1.8,8.0,0.72,52.0,0.47,2
52.0,0.9,46.0,0.8,47.0,1.5,1
32.0,1.7,42.0,0.25,52.0,0.475,1
32.0,0.35,50.0,2.1,54.0,0.18,1
42.0,1.3,50.0,3.0,71.0,0.0,1
42.0,1.235,50.0,3.0,71.0,0.0,1
42.0,1.28,50.0,3.0,71.0,0.0,1
42.0,1.222,50.0,0.96,71.0,0.0,1
42.0,1.0,71.0,0.0,71.0,0.0,1
16.0,0.098,50.0,1.095,52.0,0.29,1
16.0,0.02,34.0,2.5,52.0,0.208,2
7.0,0.83,52.0,0.365,46.0,0.2,1
25.0,0.46,26.0,0.5,47.0,0.25,2
16.0,0.017,34.0,2.4,52.0,0.206,2
32.0,1.145,42.0,0.67,52.0,0.456,1
32.0,1.18,42.0,0.7,52.0,0.472,1
32.0,1.25,27.0,0.388,31.0,0.0014,2
46.0,0.8,47.0,1.5,52.0,1.0,1
46.0,1.4,47.0,1.75,52.0,0.6,1
42.0,0.932,50.0,2.97,52.0,0.495,1
16.0,0.096,50.0,0.916,57.0,0.213,1
32.0,1.25,27.0,0.388,31.0,0.0014,2
46.0,1.0,52.0,0.15,54.0,1.2,1
25.0,0.7,55.0,0.15,47.0,0.123,1
42.0,0.635,50.0,3.05,71.0,0.0,1
32.0,1.25,42.0,0.515,52.0,0.46,1
32.0,1.26,44.0,0.69,50.0,1.1,1
32.0,1.238,42.0,0.683,52.0,0.485,1
16.0,0.015,34.0,2.62,71.0,0.0,2
32.0,1.237,27.0,0.38,31.0,0.0016,2
32.0,1.92,8.0,0.77,52.0,0.456,2
32.0,1.17,44.0,0.61,50.0,0.96,1
32.0,1.168,42.0,0.742,52.0,0.478,1
42.0,0.6,50.0,2.8,52.0,0.115,1
25.0,0.32,47.0,0.775,55.0,0.265,1
32.0,1.73,8.0,0.75,52.0,0.46,2
16.0,0.0178,34.0,2.625,52.0,0.216,2
