d1,c1,d2,c2,d3,c3,cluster
32.0,0.42,23.0,0.15,31.0,0.028,2
32.0,1.864,42.0,0.142,31.0,0.0156,2
14.0,0.02,20.0,0.113,54.0,0.136,1
16.0,0.01,32.0,0.39,71.0,0.0,1
6.0,0.465,23.0,0.136,31.0,0.0213,1
32.0,0.71,34.0,0.26,31.0,0.0065,2
32.0,0.72,34.0,0.3,31.0,0.0065,2
32.0,0.754,34.0,0.285,31.0,0.0063,2
16.0,0.04,17.0,0.25,31.0,0.016,1
17.0,0.17,42.0,1.45,71.0,0.0,1
16.0,0.01,21.0,0.0523,54.0,0.088,1
14.0,0.02,20.0,0.1,54.0,0.135,1
32.0,0.468,17.0,0.014,42.0,0.205,2
32.0,0.8,34.0,0.365,31.0,0.01,2
16.0,0.051,17.0,0.268,31.0,0.0166,1
16.0,0.2,34.0,0.33,31.0,0.034,2
14.0,0.02,20.0,0.112,54.0,0.133,1
32.0,0.8,34.0,0.358,31.0,0.0102,2
16.0,0.0384,17.0,0.335,31.0,0.0195,1
19.0,0.12,32.0,1.05,31.0,0.0024,2
32.0,0.45,17.0,0.0083,42.0,0.29,2
16.0,0.0125,17.0,0.059,31.0,0.006,1
16.0,0.098,27.0,0.126,31.0,0.0077,1
16.0,0.025,17.0,0.385,31.0,0.03,1
3.0,0.057,4.0,0.24,71.0,0.0,1
32.0,0.456,17.0,0.011,42.0,0.23,2
16.0,0.042,17.0,0.258,31.0,0.0173,1
32.0,0.456,42.0,0.276,31.0,0.0043,2
16.0,0.041,17.0,0.253,31.0,0.017,1
3.0,0.107,4.0,0.088,5.0,0.054,1
16.0,0.19,17.0,0.39,31.0,0.022,1
32.0,1.864,42.0,0.137,31.0,0.0156,2
17.0,0.16,42.0,1.42,71.0,0.0,1
32.0,0.453,42.0,0.276,31.0,0.0042,2
17.0,0.165,42.0,1.6,71.0,0.0,1
17.0,0.172,42.0,1.6,71.0,0.0,1
32.0,0.806,34.0,0.342,31.0,0.01,2
6.0,0.44,23.0,0.135,31.0,0.021,1
32.0,0.46,42.0,0.46,54.0,0.115,2
6.0,0.436,23.0,0.135,31.0,0.022,1
32.0,0.275,29.0,0.025,71.0,0.0,1
32.0,0.44,17.0,0.018,42.0,0.22,2
6.0,0.445,23.0,0.1388,31.0,0.0225,1
32.0,0.717,7.0,0.303,31.0,0.007,2
32.0,0.72,34.0,0.28,31.0,0.0069,2
16.0,0.01,32.0,0.385,71.0,0.0,1
32.0,0.67,7.0,0.245,31.0,0.008,2
54.0,0.112,32.0,0.49,42.0,0.316,2
6.0,0.44,23.0,0.136,31.0,0.022,1
17.0,0.15,42.0,1.58,71.0,0.0,1
