d1,c1,d2,c2,d3,c3,cluster
7.0,0.54,35.0,0.59,48.0,2.85,2
7.0,0.55,35.0,0.593,48.0,2.85,2
7.0,0.555,35.0,0.596,48.0,2.85,2
7.0,0.493,35.0,0.501,48.0,2.2,2
34.0,0.565,48.0,1.0,31.0,0.2,1
7.0,1.84,48.0,1.186,35.0,0.448,2
7.0,1.785,48.0,1.153,35.0,0.434,2
7.0,1.803,48.0,1.163,35.0,0.439,2
7.0,1.854,48.0,1.195,35.0,0.5,2
7.0,1.854,48.0,1.195,35.0,0.5,2
7.0,1.82,48.0,1.25,35.0,0.507,2
7.0,1.85,48.0,1.29,35.0,0.47,2
7.0,1.845,48.0,1.3,35.0,0.465,2
7.0,1.87,48.0,1.24,35.0,0.47,2
7.0,1.875,48.0,1.245,35.0,0.465,2
7.0,1.894,48.0,1.214,35.0,0.467,2
7.0,1.945,48.0,1.205,35.0,0.485,2
7.0,1.875,48.0,1.246,35.0,0.467,2
7.0,1.945,48.0,1.205,35.0,0.49,2
7.0,1.945,48.0,1.205,35.0,0.49,2
7.0,1.875,48.0,1.205,35.0,0.49,2
7.0,1.875,48.0,1.205,35.0,0.49,2
7.0,1.93,48.0,1.236,35.0,0.535,2
7.0,1.93,48.0,1.236,35.0,0.535,2
7.0,1.95,48.0,1.205,35.0,0.55,2
7.0,1.95,48.0,1.205,35.0,0.55,2
7.0,1.91,48.0,1.236,35.0,0.529,2
7.0,1.91,48.0,1.23,35.0,0.54,2
7.0,1.93,48.0,1.3,35.0,0.54,2
7.0,1.91,48.0,1.27,35.0,0.53,2
7.0,1.89,48.0,1.24,35.0,0.52,2
7.0,1.9,48.0,1.245,35.0,0.52,2
7.0,0.64,48.0,2.83,35.0,0.54,2
7.0,0.41,48.0,2.8,35.0,0.48,2
7.0,0.4,48.0,3.0,35.0,0.46,2
7.0,0.35,48.0,2.8,35.0,0.47,2
7.0,0.366,48.0,2.8,35.0,0.465,2
7.0,0.5,48.0,2.9,35.0,0.6,2
7.0,0.54,48.0,2.9,35.0,0.56,2
34.0,0.266,48.0,2.08,35.0,0.337,1
34.0,0.36,48.0,2.4,35.0,0.43,1
34.0,0.365,48.0,2.4,35.0,0.425,1
7.0,0.49,48.0,2.76,35.0,0.58,2
34.0,0.3,48.0,1.96,35.0,0.35,1
34.0,0.33,48.0,1.8,35.0,0.32,1
34.0,0.34,48.0,1.75,35.0,0.31,1
34.0,0.33,48.0,1.65,35.0,0.3,1
34.0,0.34,48.0,1.42,35.0,0.295,1
34.0,0.4,48.0,1.7,35.0,0.31,1
34.0,0.43,48.0,1.7,35.0,0.32,1
34.0,0.38,48.0,1.68,35.0,0.4,1
34.0,0.35,48.0,1.65,35.0,0.45,1
7.0,0.416,48.0,2.85,35.0,0.51,2
34.0,0.34,48.0,1.725,35.0,0.385,1
7.0,0.424,48.0,2.86,35.0,0.495,2
7.0,0.458,48.0,3.0,35.0,0.57,2
7.0,0.45,48.0,3.0,35.0,0.58,2
7.0,0.45,48.0,2.92,35.0,0.55,2
7.0,0.365,48.0,2.1,35.0,0.44,2
34.0,0.46,48.0,2.89,35.0,0.555,1
34.0,0.41,48.0,1.785,35.0,0.412,1
34.0,0.42,48.0,1.75,35.0,0.41,1
34.0,0.423,48.0,1.76,35.0,0.41,1
34.0,0.35,48.0,2.26,35.0,0.42,1
48.0,2.25,35.0,0.43,34.0,0.48,1
34.0,0.5,48.0,2.1,35.0,0.46,1
34.0,0.55,48.0,2.1,35.0,0.5,1
34.0,0.8,48.0,2.1,35.0,0.3,1
7.0,0.53,48.0,3.0,35.0,0.55,2
7.0,0.54,48.0,3.0,35.0,0.575,2
7.0,0.54,48.0,2.9,35.0,0.58,2
7.0,0.432,48.0,2.4,35.0,0.46,2
7.0,0.535,48.0,3.0,35.0,0.555,2
7.0,0.54,48.0,2.9,35.0,0.586,2
7.0,0.436,48.0,2.4,35.0,0.455,2
7.0,0.55,48.0,2.93,35.0,0.586,2
7.0,0.547,48.0,2.92,35.0,0.586,2
7.0,0.485,48.0,1.8,35.0,0.485,2
7.0,0.547,35.0,0.586,48.0,2.92,2
7.0,1.1,48.0,1.18,64.0,0.7,2
34.0,1.02,48.0,1.92,35.0,0.51,1
34.0,1.0,48.0,1.9,35.0,0.52,1
34.0,1.07,48.0,1.887,35.0,0.52,1
34.0,0.95,48.0,1.97,35.0,0.62,1
34.0,0.95,48.0,2.2,35.0,0.56,1
34.0,0.79,48.0,1.745,35.0,0.45,1
34.0,0.98,48.0,2.2,35.0,0.5,1
34.0,0.81,48.0,1.76,35.0,0.42,1
34.0,0.97,48.0,2.2,35.0,0.52,1
34.0,0.95,48.0,2.2,35.0,0.54,1
34.0,0.77,48.0,1.74,35.0,0.45,1
34.0,0.92,48.0,2.2,35.0,0.6,1
34.0,0.75,48.0,1.73,35.0,0.48,1
34.0,0.89,48.0,2.138,35.0,0.5,1
34.0,0.87,48.0,2.135,35.0,0.488,1
34.0,0.896,48.0,2.1,35.0,0.488,1
34.0,0.9,48.0,2.13,35.0,0.5,1
34.0,0.894,48.0,2.137,35.0,0.5,1
34.0,0.913,48.0,2.135,35.0,0.5026,1
34.0,0.91,48.0,2.1,35.0,0.48,1
34.0,0.786,48.0,1.64,35.0,0.396,1
34.0,0.98,48.0,2.06,35.0,0.494,1
34.0,0.982,48.0,2.055,35.0,0.495,1
34.0,0.786,48.0,1.6,35.0,0.396,1
34.0,0.785,48.0,1.58,35.0,0.396,1
44.0,0.84,50.0,2.96,31.0,0.16,1
47.0,0.65,48.0,1.55,58.0,0.7,1
47.0,0.6,48.0,1.8,58.0,0.7,1
48.0,2.5,58.0,0.65,71.0,0.0,1
47.0,0.3,48.0,2.0,58.0,0.7,1
47.0,0.35,48.0,2.3,58.0,0.6,1
47.0,0.27,48.0,2.5,58.0,0.65,1
47.0,0.25,48.0,2.3,58.0,0.65,1
47.0,0.5,48.0,2.4,58.0,0.65,1
8.0,0.9,48.0,1.4,31.0,0.25,2
8.0,1.0,48.0,1.936,31.0,0.34,2
8.0,0.86,48.0,1.95,31.0,0.3,2
8.0,1.0,48.0,1.8,31.0,0.3,2
8.0,0.9,48.0,2.0,31.0,0.25,2
8.0,0.93,48.0,2.1,31.0,0.23,2
8.0,1.0,48.0,2.33,31.0,0.29,2
8.0,1.01,48.0,2.34,31.0,0.3,2
8.0,1.0,48.0,2.34,31.0,0.31,2
8.0,0.98,48.0,2.34,31.0,0.33,2
8.0,0.96,48.0,2.36,31.0,0.35,2
8.0,0.92,48.0,2.4,31.0,0.38,2
8.0,0.9,48.0,2.42,31.0,0.29,2
8.0,0.88,48.0,2.45,31.0,0.28,2
8.0,0.84,48.0,2.6,31.0,0.27,2
8.0,0.84,48.0,2.55,31.0,0.28,2
8.0,0.7,52.0,1.52,35.0,0.76,2
8.0,0.718,52.0,1.532,35.0,0.75,2
8.0,0.736,52.0,1.5,35.0,0.78,2
8.0,0.73,52.0,1.5,35.0,0.775,2
8.0,0.73,52.0,1.58,35.0,0.783,2
8.0,0.728,52.0,1.56,35.0,0.78,2
8.0,0.6,52.0,2.3,64.0,0.7,2
8.0,0.588,52.0,2.25,64.0,0.68,2
8.0,0.59,52.0,2.23,64.0,0.65,2
8.0,0.61,52.0,2.3,64.0,0.678,2
8.0,0.57,52.0,2.25,64.0,0.68,2
8.0,0.98,48.0,2.0,35.0,0.49,2
8.0,1.0,48.0,2.1,35.0,0.47,2
8.0,1.03,48.0,2.08,35.0,0.48,2
8.0,1.08,48.0,2.0,35.0,0.5,2
8.0,1.08,48.0,2.06,35.0,0.495,2
8.0,1.1,48.0,2.1,35.0,0.504,2
8.0,1.09,48.0,2.16,35.0,0.5,2
8.0,1.1,48.0,2.18,35.0,0.51,2
8.0,1.1,48.0,2.2,35.0,0.5,2
8.0,1.12,48.0,2.16,35.0,0.51,2
8.0,1.155,48.0,2.2,35.0,0.53,2
8.0,0.93,48.0,1.76,35.0,0.42,2
8.0,1.2,48.0,2.2,35.0,0.53,2
8.0,1.25,48.0,2.2,35.0,0.55,2
8.0,1.2,48.0,2.2,35.0,0.54,2
8.0,1.23,48.0,2.2,35.0,0.543,2
8.0,1.2,48.0,2.22,35.0,0.548,2
8.0,1.19,48.0,2.32,35.0,0.53,2
8.0,1.13,48.0,2.4,35.0,0.5,2
8.0,1.12,48.0,2.4,35.0,0.48,2
55.0,1.82,46.0,0.818,58.0,1.275,1
55.0,1.9,46.0,0.8,58.0,1.3,1
55.0,1.45,46.0,0.65,58.0,1.0,1
55.0,1.23,46.0,0.57,58.0,0.88,1
8.0,0.8,48.0,2.7,35.0,0.5,2
8.0,0.82,48.0,2.73,35.0,0.6,2
8.0,0.815,48.0,2.73,35.0,0.6,2
8.0,0.98,48.0,2.9,35.0,0.6,2
8.0,0.98,48.0,2.85,35.0,0.59,2
8.0,1.3,48.0,1.0,64.0,0.76,2
8.0,1.16,48.0,0.85,64.0,0.78,2
