d1,c1,d2,c2,d3,c3,cluster
7.0,1.93,48.0,1.215,35.0,0.565,1
7.0,1.945,48.0,1.205,35.0,0.5,1
7.0,1.856,48.0,1.277,35.0,0.467,1
34.0,0.75,48.0,1.7,35.0,0.48,2
34.0,0.5,48.0,2.9,35.0,0.569,2
7.0,1.93,48.0,1.236,35.0,0.5,1
34.0,0.33,48.0,1.396,35.0,0.282,2
34.0,0.92,48.0,2.05,35.0,0.475,2
8.0,1.0,48.0,1.76,31.0,0.3,1
7.0,0.508,48.0,1.82,35.0,0.481,1
7.0,0.483,48.0,1.77,35.0,0.481,1
7.0,1.848,48.0,1.225,35.0,0.463,1
34.0,0.76,48.0,1.744,35.0,0.477,2
8.0,0.91,48.0,1.76,35.0,0.44,1
34.0,0.33,48.0,2.58,35.0,0.41,2
34.0,0.34,48.0,1.6,35.0,0.29,2
7.0,0.93,48.0,3.15,35.0,0.55,1
8.0,1.07,48.0,2.16,35.0,0.48,1
7.0,0.53,48.0,2.95,35.0,0.58,1
7.0,1.87,48.0,1.265,35.0,0.466,1
7.0,1.875,48.0,1.239,35.0,0.462,1
8.0,1.2,48.0,2.25,35.0,0.526,1
8.0,0.8,48.0,2.73,35.0,0.6,1
8.0,0.72,52.0,1.53,35.0,0.75,1
34.0,0.565,48.0,1.0,31.0,0.3,2
8.0,0.94,48.0,1.72,35.0,0.4,1
7.0,1.88,48.0,1.24,35.0,0.465,1
7.0,0.42,48.0,3.0,35.0,0.485,1
34.0,0.95,48.0,2.2,35.0,0.55,2
34.0,0.565,48.0,1.0,31.0,0.4,2
34.0,0.8,48.0,1.75,35.0,0.43,2
34.0,0.982,48.0,2.05,35.0,0.494,2
34.0,0.89,48.0,2.14,35.0,0.512,2
34.0,0.983,48.0,2.08,35.0,0.495,2
34.0,0.355,48.0,1.74,35.0,0.36,2
7.0,1.872,48.0,1.206,35.0,0.505,1
8.0,1.05,48.0,2.0,35.0,0.48,1
7.0,0.933,48.0,3.145,35.0,0.55,1
8.0,1.0,48.0,2.65,35.0,0.54,1
34.0,0.323,48.0,2.522,35.0,0.408,2
8.0,0.92,48.0,1.74,35.0,0.43,1
7.0,1.8,48.0,1.163,35.0,0.486,1
7.0,0.389,48.0,2.8,35.0,0.456,1
8.0,1.18,48.0,2.36,35.0,0.526,1
8.0,1.25,48.0,2.2,35.0,0.52,1
8.0,1.2,48.0,2.18,35.0,0.545,1
7.0,0.94,48.0,3.147,35.0,0.55,1
8.0,0.4,52.0,2.28,64.0,0.73,1
34.0,1.0,48.0,1.89,35.0,0.55,2
34.0,0.95,48.0,2.18,35.0,0.596,2
