d1,c1,d2,c2,d3,c3,cluster
34.0,0.835,48.0,0.375,64.0,1.41,1
34.0,0.85,48.0,0.363,64.0,1.45,1
7.0,1.97,21.0,0.137,64.0,1.85,2
7.0,1.97,21.0,0.137,64.0,1.85,2
7.0,0.3521,48.0,0.296,64.0,1.204,2
16.0,0.012,60.0,3.0,66.0,0.4,2
21.0,0.226,7.0,1.552,64.0,1.525,1
21.0,0.226,7.0,1.552,64.0,1.525,1
21.0,0.214,7.0,1.533,64.0,1.45,1
21.0,0.214,7.0,1.533,64.0,1.45,1
7.0,1.32,48.0,1.62,64.0,1.0,2
7.0,1.32,48.0,1.62,64.0,1.0,2
7.0,1.3,48.0,1.63,64.0,1.0,2
7.0,1.3,48.0,1.63,64.0,1.0,2
44.0,0.82,48.0,0.455,64.0,3.2,1
44.0,0.82,48.0,0.455,64.0,3.2,1
44.0,0.8,48.0,0.45,64.0,3.2,1
44.0,0.8,48.0,0.45,64.0,3.2,1
44.0,0.76,48.0,0.42,64.0,2.423,1
44.0,0.76,48.0,0.42,64.0,2.423,1
7.0,0.45,48.0,0.55,64.0,2.35,2
7.0,0.5,48.0,0.577,64.0,2.6,2
7.0,0.492,48.0,0.562,64.0,2.61,2
7.0,0.44,48.0,0.463,64.0,2.12,2
44.0,1.05,48.0,0.47,64.0,2.48,1
44.0,1.03,48.0,0.465,64.0,2.45,1
44.0,1.0,48.0,0.47,64.0,2.46,1
44.0,1.15,48.0,0.48,64.0,2.27,1
44.0,1.16,48.0,0.48,64.0,2.27,1
44.0,1.15,48.0,0.47,64.0,2.26,1
7.0,0.819,48.0,0.39,64.0,1.4,2
7.0,0.796,48.0,0.39,64.0,1.325,2
7.0,0.82,48.0,0.463,64.0,1.398,2
7.0,1.87,21.0,0.167,64.0,1.92,2
7.0,1.87,21.0,0.167,64.0,1.92,2
7.0,1.845,21.0,0.162,64.0,1.88,2
7.0,1.845,21.0,0.162,64.0,1.88,2
21.0,0.192,7.0,2.05,64.0,1.86,1
21.0,0.192,7.0,2.05,64.0,1.86,1
21.0,0.18,7.0,2.1,64.0,1.9,1
21.0,0.18,7.0,2.1,64.0,1.9,1
21.0,0.175,7.0,1.856,64.0,1.9,1
21.0,0.175,7.0,1.856,64.0,1.9,1
21.0,0.186,7.0,1.958,64.0,1.914,1
21.0,0.186,7.0,1.958,64.0,1.914,1
27.0,0.279,44.0,0.545,64.0,1.39,1
27.0,0.279,44.0,0.545,64.0,1.39,1
27.0,0.27,44.0,0.53,64.0,1.36,1
27.0,0.27,44.0,0.53,64.0,1.36,1
44.0,0.636,27.0,0.308,64.0,1.47,1
44.0,0.636,27.0,0.308,64.0,1.47,1
44.0,0.663,27.0,0.3,64.0,1.59,1
44.0,0.663,27.0,0.3,64.0,1.59,1
44.0,0.636,27.0,0.303,64.0,1.47,1
44.0,0.636,27.0,0.303,64.0,1.47,1
16.0,0.209,48.0,2.045,64.0,1.21,2
16.0,0.209,48.0,2.045,64.0,1.21,2
16.0,0.217,48.0,2.0,64.0,1.36,2
16.0,0.217,48.0,2.0,64.0,1.36,2
16.0,0.216,48.0,2.0,64.0,1.36,2
16.0,0.216,48.0,2.0,64.0,1.36,2
16.0,0.191,48.0,1.64,64.0,1.2,2
16.0,0.191,48.0,1.64,64.0,1.2,2
16.0,0.25,58.0,1.8,64.0,1.46,2
16.0,0.248,58.0,1.85,64.0,1.43,2
16.0,0.25,58.0,1.9,64.0,1.4,2
16.0,0.19,48.0,2.285,41.0,1.313,2
16.0,0.19,48.0,2.285,41.0,1.313,2
16.0,0.18,48.0,2.4,41.0,1.4,2
16.0,0.18,48.0,2.4,41.0,1.4,2
16.0,0.191,48.0,2.2,41.0,1.36,2
16.0,0.191,48.0,2.2,41.0,1.36,2
44.0,0.62,27.0,0.283,64.0,1.31,1
44.0,0.62,27.0,0.283,64.0,1.31,1
44.0,0.98,48.0,0.465,64.0,2.54,1
44.0,0.99,48.0,0.45,64.0,2.55,1
44.0,1.0,48.0,0.45,64.0,2.6,1
17.0,0.335,21.0,0.195,62.0,2.08,1
7.0,0.61,64.0,1.7,27.0,0.012,2
7.0,0.61,64.0,1.7,27.0,0.012,2
7.0,1.15,48.0,0.48,64.0,1.9,2
7.0,1.15,48.0,0.48,64.0,1.9,2
7.0,1.13,48.0,0.47,64.0,1.8,2
7.0,1.13,48.0,0.47,64.0,1.8,2
16.0,0.077,7.0,0.775,64.0,1.455,1
16.0,0.077,7.0,0.775,64.0,1.455,1
16.0,0.1155,7.0,0.8,64.0,1.72,1
16.0,0.1155,7.0,0.8,64.0,1.72,1
27.0,0.19,7.0,0.557,64.0,1.43,1
27.0,0.02,7.0,0.56,64.0,1.43,1
27.0,0.021,7.0,0.56,64.0,1.44,1
7.0,0.92,48.0,0.9,64.0,2.7,2
7.0,0.92,48.0,0.9,64.0,2.7,2
7.0,0.9,48.0,0.4,64.0,2.7,2
7.0,0.9,48.0,0.4,64.0,2.7,2
7.0,0.88,48.0,0.395,64.0,2.7,2
7.0,0.88,48.0,0.395,64.0,2.7,2
7.0,0.53,48.0,0.52,64.0,2.6,2
7.0,0.53,48.0,0.52,64.0,2.6,2
7.0,0.55,48.0,0.53,64.0,2.6,2
7.0,0.55,48.0,0.53,64.0,2.6,2
7.0,0.54,48.0,0.53,64.0,2.62,2
7.0,0.54,48.0,0.53,64.0,2.62,2
7.0,0.8,48.0,0.67,64.0,2.5,2
7.0,0.8,48.0,0.667,64.0,2.5,2
7.0,0.8,48.0,0.655,64.0,2.5,2
27.0,0.0237,7.0,0.682,64.0,1.76,1
16.0,0.075,7.0,0.9,64.0,1.63,1
16.0,0.075,7.0,0.9,64.0,1.63,1
16.0,0.08,7.0,0.86,64.0,1.65,1
16.0,0.08,7.0,0.86,64.0,1.65,1
27.0,0.025,7.0,0.585,64.0,1.7,1
27.0,0.025,7.0,0.585,64.0,1.7,1
27.0,0.266,7.0,0.2,64.0,2.313,1
27.0,0.266,7.0,0.2,64.0,2.313,1
27.0,0.263,7.0,0.202,64.0,2.33,1
27.0,0.263,7.0,0.202,64.0,2.33,1
27.0,0.26,7.0,0.19,64.0,2.2,1
27.0,0.26,7.0,0.19,64.0,2.2,1
27.0,0.257,7.0,0.188,64.0,2.2,1
27.0,0.257,7.0,0.188,64.0,2.2,1
27.0,0.267,7.0,0.195,64.0,2.3,1
27.0,0.267,7.0,0.195,64.0,2.3,1
21.0,0.23,7.0,1.85,64.0,1.92,1
21.0,0.23,7.0,1.85,64.0,1.92,1
21.0,0.235,7.0,1.87,64.0,1.94,1
21.0,0.235,7.0,1.87,64.0,1.94,1
21.0,0.235,7.0,1.9,64.0,1.9,1
21.0,0.235,7.0,1.9,64.0,1.9,1
44.0,0.95,48.0,0.38,64.0,2.83,1
44.0,0.92,48.0,0.43,64.0,2.85,1
44.0,0.963,48.0,0.374,64.0,2.783,1
44.0,1.33,48.0,0.3,64.0,2.5,1
44.0,1.33,48.0,0.3,64.0,2.5,1
44.0,1.28,48.0,0.305,64.0,2.51,1
44.0,1.28,48.0,0.305,64.0,2.51,1
27.0,0.26,7.0,0.205,64.0,2.1,1
32.0,0.6,44.0,0.94,64.0,1.98,1
32.0,0.6,44.0,0.94,64.0,1.98,1
27.0,0.263,7.0,0.19,64.0,1.784,1
27.0,0.263,7.0,0.19,64.0,1.784,1
27.0,0.263,7.0,0.188,64.0,1.78,1
27.0,0.263,7.0,0.188,64.0,1.78,1
44.0,0.91,48.0,0.464,64.0,2.69,1
44.0,0.91,48.0,0.464,64.0,2.69,1
44.0,0.92,48.0,0.47,64.0,2.7,1
44.0,0.92,48.0,0.47,64.0,2.7,1
16.0,0.0865,7.0,0.805,64.0,1.365,1
16.0,0.0865,7.0,0.805,64.0,1.365,1
16.0,0.085,7.0,0.75,64.0,1.38,1
16.0,0.085,7.0,0.75,64.0,1.38,1
16.0,0.085,7.0,0.78,64.0,1.35,1
16.0,0.085,7.0,0.78,64.0,1.35,1
27.0,0.3,44.0,0.65,64.0,1.8,1
27.0,0.275,44.0,0.657,64.0,1.823,1
7.0,1.45,48.0,0.64,64.0,2.465,2
44.0,1.15,48.0,0.62,64.0,3.0,1
44.0,1.13,48.0,0.6,64.0,3.0,1
44.0,0.18,48.0,0.63,64.0,2.86,1
7.0,0.797,48.0,0.362,64.0,1.365,2
7.0,0.797,48.0,0.362,64.0,1.365,2
44.0,0.6,27.0,0.12,41.0,2.2,1
44.0,0.58,27.0,0.11,41.0,2.3,1
7.0,1.663,48.0,0.79,64.0,1.565,2
7.0,1.663,48.0,0.79,64.0,1.565,2
7.0,1.672,48.0,0.783,64.0,1.567,2
7.0,1.672,48.0,0.783,64.0,1.567,2
16.0,0.191,58.0,1.381,64.0,1.14,2
16.0,0.191,58.0,1.381,64.0,1.14,2
7.0,0.475,48.0,0.551,64.0,2.493,2
7.0,0.38,48.0,0.44,64.0,1.79,2
16.0,0.06,48.0,1.46,64.0,1.54,2
16.0,0.06,48.0,1.44,64.0,1.52,2
16.0,0.06,48.0,1.445,64.0,1.525,2
16.0,0.06,48.0,1.48,64.0,1.56,2
16.0,0.062,48.0,1.5,64.0,1.586,2
32.0,0.742,27.0,0.19,64.0,3.0,1
32.0,0.7415,27.0,0.19,64.0,3.0,1
32.0,0.743,27.0,0.19,64.0,3.0,1
32.0,0.38,7.0,0.45,64.0,2.55,1
32.0,0.437,7.0,0.42,64.0,3.23,1
32.0,0.34,7.0,0.4,64.0,2.6,1
32.0,0.43,7.0,0.455,64.0,3.08,1
8.0,1.5,52.0,0.4,64.0,1.23,2
8.0,1.8,52.0,0.435,64.0,1.335,2
8.0,1.85,52.0,0.45,64.0,1.37,2
8.0,1.58,52.0,0.4,64.0,1.2,2
8.0,1.6,52.0,0.41,64.0,1.23,2
7.0,0.475,48.0,0.5,64.0,1.17,2
7.0,0.615,48.0,0.615,64.0,2.7,2
7.0,0.62,48.0,0.62,64.0,2.7,2
7.0,0.585,65.0,0.55,64.0,2.03,2
44.0,0.093,48.0,0.47,64.0,1.94,1
44.0,0.094,48.0,0.46,64.0,1.93,1
44.0,0.094,48.0,0.43,64.0,1.9,1
44.0,0.09,48.0,0.45,64.0,1.9,1
44.0,0.0752,48.0,0.368,64.0,1.544,1
16.0,0.01,48.0,1.59,58.0,3.0,2
16.0,0.0125,48.0,1.16,58.0,3.0,2
7.0,0.33,48.0,1.045,64.0,3.0,2
7.0,0.328,48.0,1.04,64.0,3.0,2
7.0,0.275,48.0,0.833,64.0,2.1,2
16.0,0.0146,48.0,1.112,58.0,2.942,2
16.0,0.0146,48.0,1.112,58.0,2.945,2
16.0,0.0146,48.0,1.113,58.0,2.95,2
16.0,0.0138,48.0,1.15,58.0,3.0,2
16.0,0.015,48.0,1.18,58.0,3.15,2
16.0,0.015,48.0,1.19,58.0,3.2,2
7.0,0.22,48.0,0.77,64.0,1.8,2
7.0,0.22,48.0,0.75,64.0,2.5,2
64.0,2.5,7.0,0.19,48.0,0.78,1
7.0,0.185,48.0,0.795,64.0,2.55,2
7.0,0.18,48.0,0.76,64.0,2.5,2
7.0,0.175,48.0,0.77,64.0,2.56,2
7.0,0.18,48.0,0.8,64.0,2.6,2
7.0,0.2,48.0,0.82,64.0,2.6,2
7.0,0.23,48.0,0.83,64.0,2.65,2
7.0,0.25,48.0,0.85,64.0,2.6,2
7.0,0.24,48.0,0.86,64.0,2.5,2
7.0,0.23,48.0,0.85,64.0,2.4,2
7.0,0.22,48.0,0.9,64.0,2.2,2
7.0,0.2,48.0,0.85,64.0,2.2,2
7.0,0.21,48.0,0.87,64.0,2.2,2
7.0,0.23,48.0,0.945,64.0,2.3,2
7.0,0.2,48.0,0.95,64.0,2.4,2
7.0,0.2,48.0,0.95,64.0,2.4,2
7.0,0.17,48.0,0.88,64.0,2.35,2
7.0,0.18,48.0,0.8,64.0,2.2,2
7.0,0.17,48.0,0.85,64.0,2.11,2
7.0,0.2,48.0,0.86,64.0,2.2,2
7.0,0.21,48.0,0.9,64.0,2.3,2
7.0,0.16,48.0,0.88,64.0,2.3,2
7.0,0.17,48.0,0.9,64.0,2.4,2
7.0,0.18,48.0,0.88,64.0,2.5,2
7.0,0.19,48.0,0.86,64.0,2.5,2
7.0,0.5,48.0,1.01,64.0,2.57,2
7.0,0.4,48.0,0.808,64.0,1.98,2
7.0,0.495,48.0,1.02,64.0,2.57,2
7.0,0.49,48.0,1.03,64.0,2.57,2
34.0,0.55,48.0,0.92,64.0,2.48,1
34.0,0.525,48.0,1.0,64.0,2.5,1
34.0,0.41,48.0,0.79,64.0,1.93,1
34.0,0.57,48.0,0.91,64.0,2.48,1
34.0,0.56,48.0,0.91,64.0,2.4,1
34.0,0.43,48.0,0.75,64.0,1.83,1
34.0,0.56,48.0,0.905,64.0,2.4,1
34.0,0.563,48.0,0.9,64.0,2.41,1
34.0,0.45,48.0,0.7,64.0,1.8,1
34.0,0.563,48.0,0.896,64.0,2.438,1
34.0,0.56,48.0,0.898,64.0,2.436,1
34.0,0.43,48.0,0.69,64.0,1.83,1
34.0,0.42,48.0,0.68,64.0,1.85,1
34.0,0.4,48.0,0.675,64.0,1.85,1
34.0,0.42,48.0,0.68,64.0,1.8,1
34.0,0.4,48.0,0.675,64.0,1.795,1
7.0,0.48,48.0,0.96,64.0,2.5,2
7.0,0.5,48.0,1.0,64.0,2.5,2
7.0,0.5,48.0,0.95,64.0,2.55,2
7.0,0.45,48.0,0.98,64.0,2.57,2
7.0,0.44,48.0,0.96,64.0,2.6,2
7.0,0.43,48.0,1.0,64.0,2.6,2
7.0,0.45,48.0,1.02,64.0,2.6,2
7.0,0.47,48.0,0.95,64.0,2.7,2
7.0,0.5,48.0,0.9,64.0,2.7,2
7.0,0.46,48.0,0.94,64.0,2.65,2
7.0,0.465,48.0,0.94,64.0,2.67,2
7.0,0.437,48.0,0.96,64.0,2.7,2
7.0,0.428,48.0,0.98,64.0,2.7,2
7.0,0.435,48.0,0.965,64.0,2.7,2
7.0,0.437,48.0,0.99,64.0,2.66,2
7.0,0.433,48.0,0.987,64.0,2.67,2
7.0,0.47,48.0,1.05,64.0,2.58,2
7.0,0.465,48.0,1.07,64.0,2.6,2
7.0,0.465,48.0,1.07,64.0,2.58,2
7.0,0.465,48.0,1.053,64.0,2.65,2
7.0,0.465,48.0,1.051,64.0,2.63,2
34.0,0.47,48.0,1.073,64.0,2.7,1
34.0,0.53,48.0,1.06,64.0,2.7,1
34.0,0.55,48.0,1.02,64.0,2.6,1
34.0,0.53,48.0,1.0,64.0,2.7,1
34.0,0.55,48.0,1.02,64.0,2.7,1
7.0,0.465,48.0,1.07,64.0,2.58,2
7.0,1.02,48.0,1.5,64.0,1.52,2
7.0,1.025,48.0,1.489,64.0,1.53,2
7.0,1.025,48.0,1.52,64.0,1.5,2
7.0,1.028,48.0,1.53,64.0,1.5,2
7.0,1.025,48.0,1.51,64.0,1.53,2
7.0,1.025,48.0,1.5,64.0,1.54,2
34.0,1.03,48.0,1.52,64.0,1.49,1
34.0,1.035,48.0,1.523,64.0,1.488,1
34.0,1.03,48.0,1.513,64.0,1.48,1
34.0,1.035,48.0,1.51,64.0,1.48,1
34.0,1.045,48.0,1.45,64.0,1.485,1
34.0,1.05,48.0,1.38,64.0,1.5,1
34.0,1.05,48.0,1.398,64.0,1.5,1
34.0,1.1,48.0,1.41,64.0,1.567,1
34.0,1.1,48.0,1.45,64.0,1.5,1
