d1,c1,d2,c2,d3,c3,cluster
16.0,0.0177,29.0,0.113,71.0,0.0,2
16.0,0.029,29.0,0.2,71.0,0.0,2
14.0,0.009,29.0,0.3,32.0,0.03,2
16.0,0.0028,29.0,0.28,31.0,0.0057,2
16.0,0.0178,29.0,0.115,71.0,0.0,2
16.0,0.002,29.0,0.37,31.0,0.038,2
14.0,0.025,16.0,0.0112,29.0,0.373,2
69.0,0.26,66.0,0.13,71.0,0.0,1
14.0,0.0045,69.0,2.28,71.0,0.0,1
69.0,0.252,66.0,0.133,71.0,0.0,1
29.0,0.188,66.0,0.12,71.0,0.0,1
29.0,0.17,66.0,0.125,71.0,0.0,1
29.0,0.16,66.0,0.13,71.0,0.0,1
29.0,0.16,66.0,0.13,71.0,0.0,1
16.0,0.002,29.0,0.36,31.0,0.04,2
29.0,0.178,66.0,0.17,71.0,0.0,1
29.0,0.18,66.0,0.12,71.0,0.0,1
16.0,0.033,60.0,0.335,71.0,0.0,1
16.0,0.033,60.0,0.335,71.0,0.0,1
14.0,0.0385,16.0,0.004,29.0,0.517,2
14.0,0.011,30.0,0.34,32.0,0.033,2
29.0,0.18,66.0,0.12,71.0,0.0,1
29.0,0.26,31.0,0.03,71.0,0.0,2
14.0,0.003,16.0,0.019,60.0,0.215,2
66.0,0.155,71.0,0.0,71.0,0.0,1
16.0,0.002,29.0,0.37,31.0,0.038,2
69.0,0.22,66.0,0.148,71.0,0.0,1
61.0,0.42,14.0,0.0006,71.0,0.0,2
14.0,0.0017,61.0,0.48,71.0,0.0,1
14.0,0.009,29.0,0.3,32.0,0.03,2
16.0,0.073,29.0,1.17,71.0,0.0,2
16.0,0.003,29.0,0.3,31.0,0.006,2
16.0,0.0176,29.0,0.114,71.0,0.0,2
16.0,0.032,60.0,0.34,71.0,0.0,1
14.0,0.025,16.0,0.0112,29.0,0.37,2
14.0,0.01,29.0,0.315,32.0,0.03,2
29.0,0.25,31.0,0.029,71.0,0.0,2
69.0,0.24,66.0,0.13,71.0,0.0,1
16.0,0.0035,29.0,0.34,31.0,0.048,2
14.0,0.0017,61.0,0.48,71.0,0.0,1
14.0,0.024,29.0,0.447,32.0,0.0266,2
16.0,0.0036,29.0,0.332,31.0,0.0495,2
29.0,0.186,66.0,0.12,71.0,0.0,1
16.0,0.0126,29.0,0.19,31.0,0.03,2
14.0,0.025,16.0,0.0112,29.0,0.373,2
29.0,0.188,66.0,0.12,71.0,0.0,1
16.0,0.0028,29.0,0.28,31.0,0.0057,2
14.0,0.0046,69.0,2.31,71.0,0.0,1
14.0,0.0385,16.0,0.004,29.0,0.517,2
16.0,0.029,60.0,0.23,71.0,0.0,1
