d1,c1,d2,c2,d3,c3,cluster
16.0,0.007,29.0,0.48,60.0,2.3,1
16.0,0.006,29.0,2.1,66.0,0.36,1
29.0,1.5,66.0,0.45,71.0,0.0,2
29.0,2.3,66.0,0.42,71.0,0.0,2
16.0,0.0223,29.0,3.0,66.0,0.46,1
66.0,0.195,69.0,0.83,71.0,0.0,2
16.0,0.009,29.0,2.1,66.0,0.37,1
14.0,0.062,16.0,0.042,60.0,1.67,1
66.0,0.19,60.0,0.85,71.0,0.0,2
16.0,0.01,29.0,1.78,66.0,0.378,1
7.0,0.487,48.0,0.5,64.0,1.114,1
14.0,0.027,29.0,0.9,61.0,3.0,1
16.0,0.001,29.0,1.15,66.0,0.337,1
29.0,1.55,66.0,0.46,71.0,0.0,2
66.0,0.198,69.0,0.83,71.0,0.0,2
16.0,0.069,29.0,0.9,60.0,3.0,1
16.0,0.0135,29.0,2.0,66.0,0.41,1
66.0,0.185,60.0,0.89,71.0,0.0,2
29.0,2.5,66.0,0.32,71.0,0.0,2
66.0,0.17,60.0,0.88,71.0,0.0,2
16.0,0.009,29.0,1.53,66.0,0.437,1
7.0,0.515,48.0,0.52,64.0,1.156,1
16.0,0.001,29.0,1.145,66.0,0.339,1
16.0,0.061,29.0,1.09,60.0,3.05,1
16.0,0.022,29.0,3.0,66.0,0.45,1
29.0,1.2,66.0,0.3,71.0,0.0,2
16.0,0.0135,29.0,3.0,66.0,0.39,1
7.0,0.49,48.0,0.503,64.0,1.12,1
16.0,0.0036,60.0,2.1,71.0,0.0,2
16.0,0.023,29.0,3.0,66.0,0.46,1
16.0,0.019,29.0,2.25,66.0,0.44,1
16.0,0.0065,29.0,3.0,66.0,0.324,1
7.0,0.5,48.0,0.524,64.0,1.143,1
16.0,0.01,29.0,1.7,66.0,0.428,1
16.0,0.008,29.0,2.1,66.0,0.37,1
16.0,0.061,29.0,1.1,60.0,3.05,1
16.0,0.0223,29.0,3.0,66.0,0.46,1
16.0,0.013,29.0,3.0,66.0,0.385,1
16.0,0.017,29.0,1.8,66.0,0.4,1
16.0,0.001,29.0,1.145,66.0,0.335,1
16.0,0.0073,29.0,3.0,66.0,0.315,1
16.0,0.0065,29.0,3.0,66.0,0.324,1
16.0,0.0125,29.0,3.0,66.0,0.383,1
16.0,0.0029,60.0,2.14,71.0,0.0,2
16.0,0.038,29.0,0.76,61.0,3.0,1
29.0,1.0,66.0,0.325,71.0,0.0,2
16.0,0.025,29.0,3.0,66.0,0.48,1
16.0,0.07,29.0,0.9,60.0,3.0,1
16.0,0.012,29.0,2.0,66.0,0.54,1
14.0,0.0208,29.0,0.895,61.0,3.0,1
