d1,c1,d2,c2,d3,c3,cluster
3.0,0.047,4.0,0.044,5.0,0.022,1
39.0,0.45,71.0,0.0,71.0,0.0,2
16.0,0.005,29.0,0.042,71.0,0.0,2
3.0,0.0045,4.0,0.108,5.0,0.021,1
4.0,0.0123,5.0,0.0067,71.0,0.0,2
3.0,0.045,4.0,0.038,5.0,0.024,1
3.0,0.0045,4.0,0.104,5.0,0.021,1
29.0,0.0098,16.0,0.0007,71.0,0.0,2
3.0,0.011,4.0,0.022,5.0,0.016,1
4.0,0.02,5.0,0.004,71.0,0.0,2
3.0,0.0394,4.0,0.0439,5.0,0.0389,1
3.0,0.066,4.0,0.0042,5.0,0.01,1
4.0,0.0128,5.0,0.007,71.0,0.0,2
3.0,0.043,4.0,0.041,5.0,0.0255,1
39.0,1.2,71.0,0.0,71.0,0.0,2
29.0,0.01,31.0,0.005,71.0,0.0,2
31.0,0.025,33.0,0.0123,71.0,0.0,2
4.0,0.0164,5.0,0.015,71.0,0.0,2
4.0,0.027,5.0,0.0014,71.0,0.0,2
3.0,0.024,4.0,0.022,5.0,0.015,1
29.0,0.0108,16.0,0.0007,71.0,0.0,2
3.0,0.027,4.0,0.016,5.0,0.005,1
3.0,0.025,4.0,0.025,5.0,0.012,1
3.0,0.013,4.0,0.025,5.0,0.018,1
16.0,0.0025,29.0,0.023,71.0,0.0,2
16.0,0.001,55.0,0.0405,31.0,0.0077,2
29.0,0.0093,31.0,0.0053,71.0,0.0,2
3.0,0.044,4.0,0.043,5.0,0.0243,1
3.0,0.0047,4.0,0.115,5.0,0.022,1
3.0,0.043,4.0,0.043,5.0,0.0233,1
4.0,0.028,5.0,0.023,71.0,0.0,2
31.0,0.026,33.0,0.0126,71.0,0.0,2
4.0,0.015,5.0,0.0084,71.0,0.0,2
4.0,0.027,5.0,0.0014,71.0,0.0,2
33.0,0.0116,31.0,0.027,71.0,0.0,2
3.0,0.0268,4.0,0.0113,5.0,0.005,1
29.0,0.011,31.0,0.004,71.0,0.0,2
31.0,0.025,33.0,0.0123,71.0,0.0,2
4.0,0.082,5.0,0.017,71.0,0.0,2
39.0,1.03,71.0,0.0,71.0,0.0,2
29.0,0.0097,16.0,0.0008,71.0,0.0,2
39.0,0.37,71.0,0.0,71.0,0.0,2
39.0,0.6,71.0,0.0,71.0,0.0,2
33.0,0.012,31.0,0.0275,71.0,0.0,2
3.0,0.033,4.0,0.044,71.0,0.0,2
39.0,0.83,71.0,0.0,71.0,0.0,2
31.0,0.0267,33.0,0.013,71.0,0.0,2
4.0,0.005,5.0,0.02,71.0,0.0,2
3.0,0.0086,4.0,0.0165,5.0,0.0306,1
39.0,0.47,71.0,0.0,71.0,0.0,2
