d1,c1,d2,c2,d3,c3,cluster
7.0,1.24,48.0,1.76,64.0,0.877,1
34.0,1.4,48.0,1.86,64.0,0.8,1
16.0,0.052,7.0,1.615,64.0,0.675,2
16.0,0.032,7.0,1.62,64.0,1.02,2
34.0,1.1,27.0,0.12,35.0,1.21,1
47.0,0.32,48.0,2.3,58.0,0.85,1
16.0,0.036,7.0,1.7,64.0,1.05,2
16.0,0.033,7.0,1.355,64.0,0.751,2
16.0,0.0295,7.0,1.43,64.0,0.8,2
16.0,0.032,7.0,1.62,64.0,1.02,2
47.0,0.245,48.0,2.45,58.0,0.95,1
16.0,0.0284,34.0,1.522,64.0,0.928,1
16.0,0.05,7.0,1.68,64.0,0.9,2
16.0,0.072,7.0,1.83,64.0,0.98,2
16.0,0.049,34.0,1.483,64.0,0.93,1
16.0,0.035,34.0,1.66,64.0,1.0,1
16.0,0.0646,7.0,1.5,64.0,0.969,2
34.0,1.45,23.0,0.33,64.0,1.31,1
16.0,0.055,7.0,1.62,64.0,0.995,2
8.0,1.5,48.0,1.1,64.0,0.86,1
8.0,0.84,27.0,0.168,64.0,0.9,2
6.0,0.418,27.0,0.282,64.0,1.32,2
16.0,0.035,34.0,1.66,64.0,1.05,1
44.0,2.71,48.0,0.344,64.0,1.04,1
16.0,0.052,7.0,1.615,64.0,0.675,2
44.0,2.72,48.0,0.335,64.0,0.96,1
7.0,0.268,27.0,0.193,35.0,0.737,1
7.0,0.47,48.0,0.495,64.0,1.16,1
34.0,1.55,48.0,2.0,64.0,0.96,1
16.0,0.031,7.0,1.44,64.0,0.79,2
16.0,0.0755,7.0,1.875,64.0,1.05,2
16.0,0.045,7.0,1.46,64.0,0.883,2
16.0,0.07,7.0,1.86,64.0,1.0,2
16.0,0.052,7.0,1.57,64.0,0.885,2
16.0,0.062,7.0,1.75,64.0,1.03,2
16.0,0.051,7.0,1.52,64.0,0.95,2
34.0,1.08,27.0,0.092,35.0,1.06,1
8.0,0.66,48.0,0.324,64.0,1.21,1
16.0,0.032,7.0,1.57,64.0,1.03,2
16.0,0.06,7.0,1.56,64.0,0.943,2
34.0,1.11,27.0,0.11,35.0,1.24,1
7.0,1.405,48.0,1.75,64.0,0.792,1
16.0,0.049,7.0,1.63,64.0,0.941,2
7.0,1.37,48.0,1.8,64.0,0.83,1
34.0,1.47,48.0,1.73,64.0,0.95,1
16.0,0.035,7.0,1.45,64.0,0.77,2
16.0,0.035,7.0,1.54,64.0,0.88,2
16.0,0.0615,7.0,1.53,64.0,1.07,2
16.0,0.036,34.0,1.67,64.0,1.039,1
16.0,0.0538,7.0,1.48,64.0,0.87,2
