d1,c1,d2,c2,d3,c3,cluster
16.0,0.0623,21.0,0.073,58.0,3.05,1
16.0,0.036,55.0,0.19,66.0,1.77,1
52.0,0.27,55.0,1.685,58.0,1.2,1
16.0,0.0385,23.0,0.26,58.0,3.03,1
16.0,0.034,48.0,0.953,58.0,1.343,1
16.0,0.0235,55.0,1.862,58.0,1.813,1
16.0,0.023,55.0,1.75,58.0,1.73,1
16.0,0.025,55.0,1.9,58.0,1.79,1
16.0,0.025,55.0,1.898,58.0,1.775,1
23.0,0.44,66.0,0.35,58.0,2.06,1
16.0,0.023,55.0,1.75,58.0,1.773,1
19.0,0.13,58.0,2.56,29.0,1.71,2
16.0,0.066,23.0,0.26,58.0,3.0,1
16.0,0.056,55.0,0.1,66.0,1.9,1
55.0,1.45,46.0,0.69,58.0,1.0,1
16.0,0.0625,21.0,0.071,58.0,3.05,1
16.0,0.12,21.0,0.395,58.0,1.32,1
16.0,0.041,48.0,0.98,58.0,1.5,1
16.0,0.034,48.0,0.952,58.0,1.333,1
52.0,0.28,58.0,0.504,64.0,2.76,1
16.0,0.033,48.0,1.16,58.0,2.85,1
16.0,0.075,23.0,0.28,58.0,3.15,1
16.0,0.02,48.0,1.12,58.0,1.65,1
23.0,0.44,66.0,0.33,58.0,2.06,1
16.0,0.0159,48.0,1.115,58.0,2.925,1
16.0,0.04,48.0,0.88,58.0,1.22,1
58.0,0.85,66.0,0.43,55.0,0.102,1
16.0,0.032,48.0,1.13,58.0,2.8,1
16.0,0.0346,55.0,0.16,66.0,1.77,1
16.0,0.065,55.0,2.1,58.0,1.854,1
16.0,0.0235,55.0,1.95,58.0,1.88,1
16.0,0.043,48.0,1.0,58.0,3.0,1
19.0,0.103,58.0,2.4,29.0,1.59,2
16.0,0.118,21.0,0.39,58.0,1.3,1
19.0,0.093,58.0,2.4,29.0,1.68,2
16.0,0.083,23.0,0.296,58.0,3.2,1
16.0,0.0083,48.0,0.94,58.0,1.5,1
16.0,0.07,55.0,0.122,66.0,2.35,1
16.0,0.036,55.0,0.188,66.0,1.79,1
16.0,0.0356,55.0,0.188,66.0,1.85,1
16.0,0.02,55.0,1.38,58.0,1.32,1
55.0,0.192,58.0,2.08,66.0,0.5,1
16.0,0.04,48.0,0.978,58.0,1.478,1
16.0,0.016,48.0,1.11,58.0,2.92,1
16.0,0.018,48.0,1.13,58.0,1.6,1
52.0,0.36,55.0,0.78,58.0,1.15,1
55.0,1.875,58.0,1.8,71.0,0.0,1
23.0,0.44,66.0,0.315,58.0,2.04,1
16.0,0.011,48.0,0.93,58.0,1.3,1
16.0,0.015,55.0,1.85,58.0,1.94,1
