d1,c1,d2,c2,d3,c3,cluster
16.0,0.115,29.0,3.0,58.0,0.98,1
16.0,0.115,29.0,3.0,58.0,0.98,1
16.0,0.113,29.0,3.0,58.0,1.04,1
16.0,0.113,29.0,3.0,58.0,1.04,1
16.0,0.113,29.0,3.0,58.0,1.02,1
16.0,0.113,29.0,3.0,58.0,1.02,1
16.0,0.112,29.0,3.0,58.0,1.0,1
16.0,0.112,29.0,3.0,58.0,1.0,1
29.0,0.75,32.0,0.53,61.0,3.0,1
19.0,0.3,6.0,0.1485,29.0,2.162,2
19.0,0.3,6.0,0.1485,29.0,2.162,2
32.0,0.578,29.0,1.47,58.0,1.286,1
32.0,0.573,29.0,1.45,58.0,1.273,1
32.0,0.456,29.0,1.786,58.0,0.907,1
32.0,0.583,29.0,2.3,58.0,1.04,1
32.0,0.35,29.0,2.7,36.0,0.93,2
32.0,0.36,29.0,2.7,36.0,0.9,2
32.0,0.368,29.0,2.8,36.0,1.04,2
32.0,0.379,29.0,2.8,36.0,1.04,2
32.0,0.388,29.0,2.87,36.0,1.073,2
32.0,0.447,29.0,0.87,58.0,2.65,1
32.0,0.45,29.0,0.9,58.0,2.65,1
32.0,0.473,29.0,0.865,58.0,2.775,1
7.0,0.522,48.0,0.52,64.0,1.141,1
7.0,0.5,48.0,0.513,64.0,1.143,1
7.0,0.485,48.0,0.498,64.0,1.109,1
7.0,0.485,48.0,0.497,64.0,1.107,1
7.0,0.485,48.0,0.495,64.0,1.09,1
32.0,0.2,29.0,0.9,60.0,2.9,1
32.0,0.21,29.0,0.72,60.0,3.15,1
32.0,0.205,29.0,0.68,60.0,2.96,1
32.0,0.19,29.0,0.73,60.0,3.1,1
32.0,0.192,29.0,0.725,60.0,3.1,1
32.0,0.192,29.0,0.732,60.0,3.1,1
32.0,1.1,42.0,0.06,29.0,1.88,2
32.0,1.12,42.0,0.067,29.0,2.3,2
32.0,1.133,42.0,0.064,29.0,2.132,2
32.0,1.18,42.0,0.058,29.0,2.1,2
32.0,1.165,42.0,0.064,29.0,2.2,2
32.0,0.92,42.0,0.055,29.0,1.78,2
32.0,1.17,42.0,0.063,29.0,2.2,2
32.0,0.93,42.0,0.05,29.0,1.78,2
32.0,0.92,42.0,0.0525,29.0,1.781,2
32.0,1.17,42.0,0.062,29.0,2.134,2
32.0,0.891,42.0,0.048,29.0,1.7,2
32.0,1.17,42.0,0.061,29.0,2.137,2
32.0,0.895,42.0,0.042,29.0,1.7,2
32.0,1.17,42.0,0.061,29.0,2.137,2
32.0,1.38,42.0,0.065,29.0,2.48,2
32.0,1.26,42.0,0.072,29.0,2.4,2
32.0,0.27,69.0,2.8,71.0,0.0,1
69.0,2.7,32.0,0.3,71.0,0.0,1
32.0,0.25,69.0,3.0,71.0,0.0,1
32.0,0.23,69.0,2.9,71.0,0.0,1
32.0,0.25,29.0,0.5,69.0,3.0,1
32.0,0.25,29.0,0.3,69.0,3.0,1
32.0,0.28,69.0,2.95,29.0,0.4,2
19.0,0.35,6.0,0.15,29.0,2.5,2
19.0,0.4,6.0,0.185,29.0,2.8,2
19.0,0.42,6.0,0.175,29.0,2.8,2
19.0,0.42,6.0,0.178,29.0,2.8,2
19.0,0.415,6.0,0.18,29.0,2.8,2
19.0,0.428,6.0,0.184,29.0,2.856,2
29.0,2.8,19.0,0.43,6.0,0.18,2
19.0,0.43,6.0,0.16,29.0,2.78,2
19.0,0.425,6.0,0.173,29.0,2.8,2
19.0,0.44,6.0,0.165,29.0,2.8,2
19.0,0.4,6.0,0.17,29.0,2.8,2
32.0,1.4,60.0,1.2,59.0,0.9,1
32.0,1.33,60.0,1.2,59.0,0.855,1
32.0,1.26,60.0,1.24,59.0,0.77,1
32.0,1.33,60.0,1.25,59.0,0.87,1
32.0,1.33,60.0,1.27,59.0,0.89,1
32.0,1.26,60.0,1.15,59.0,0.9,1
32.0,1.27,60.0,1.25,59.0,0.92,1
32.0,1.23,60.0,1.22,59.0,0.78,1
32.0,1.23,60.0,1.2,59.0,0.77,1
32.0,1.22,60.0,1.21,59.0,0.78,1
32.0,1.23,60.0,1.2,59.0,0.78,1
32.0,1.5,29.0,0.72,58.0,1.48,1
32.0,1.5,29.0,0.7,58.0,1.5,1
32.0,1.53,29.0,0.73,58.0,1.52,1
32.0,1.5,29.0,0.744,58.0,1.48,1
32.0,1.48,29.0,0.725,58.0,1.49,1
32.0,1.46,29.0,0.733,58.0,1.485,1
32.0,0.16,27.0,0.183,36.0,1.2,2
32.0,0.159,27.0,0.19,36.0,1.22,2
32.0,0.16,27.0,0.187,36.0,1.21,2
32.0,0.38,29.0,1.18,58.0,2.2,1
32.0,0.36,29.0,1.18,58.0,1.98,1
32.0,0.313,29.0,1.123,58.0,1.565,1
32.0,0.316,29.0,1.134,58.0,1.58,1
32.0,0.315,29.0,1.27,58.0,1.76,1
32.0,0.32,29.0,1.3,58.0,1.8,1
32.0,0.315,29.0,1.32,58.0,1.8,1
32.0,0.318,29.0,1.35,58.0,1.83,1
