d1,c1,d2,c2,d3,c3,cluster
29.0,0.375,66.0,0.88,71.0,0.0,2
29.0,0.375,66.0,0.875,71.0,0.0,2
29.0,0.39,66.0,0.87,71.0,0.0,2
16.0,0.0025,60.0,2.2,71.0,0.0,2
16.0,0.0028,60.0,2.13,71.0,0.0,2
16.0,0.0028,60.0,2.1,71.0,0.0,2
16.0,0.0074,29.0,3.0,66.0,0.323,1
16.0,0.0074,29.0,3.0,66.0,0.323,1
14.0,0.0845,16.0,0.0088,60.0,1.45,1
14.0,0.028,29.0,0.886,61.0,3.0,1
14.0,0.028,29.0,0.886,61.0,3.0,1
14.0,0.0215,29.0,1.0,61.0,3.0,1
14.0,0.0215,29.0,1.0,61.0,3.0,1
14.0,0.022,29.0,1.0,61.0,3.0,1
14.0,0.022,29.0,1.0,61.0,3.0,1
14.0,0.02,29.0,1.0,61.0,2.98,1
14.0,0.02,29.0,1.0,61.0,2.98,1
16.0,0.038,29.0,0.77,61.0,3.0,1
16.0,0.038,29.0,0.77,61.0,3.0,1
16.0,0.038,29.0,0.775,61.0,3.0,1
16.0,0.038,29.0,0.775,61.0,3.0,1
16.0,0.019,29.0,0.54,66.0,0.9,1
16.0,0.02,29.0,0.56,66.0,0.9,1
16.0,0.02,29.0,0.57,66.0,0.88,1
16.0,0.06,29.0,1.05,60.0,3.0,1
16.0,0.06,29.0,1.05,60.0,3.0,1
16.0,0.02,29.0,3.0,66.0,0.44,1
16.0,0.02,29.0,3.0,66.0,0.44,1
16.0,0.1,7.0,0.848,64.0,1.67,1
14.0,0.062,16.0,0.048,60.0,1.44,1
14.0,0.062,16.0,0.048,60.0,1.44,1
14.0,0.063,16.0,0.047,60.0,1.45,1
14.0,0.063,16.0,0.047,60.0,1.45,1
14.0,0.065,16.0,0.05,60.0,1.46,1
14.0,0.065,16.0,0.05,60.0,1.46,1
16.0,0.0028,60.0,1.9,71.0,0.0,2
16.0,0.0028,60.0,1.9,71.0,0.0,2
16.0,0.021,29.0,3.0,66.0,0.48,1
16.0,0.021,29.0,3.0,66.0,0.48,1
16.0,0.012,29.0,3.0,66.0,0.386,1
16.0,0.012,29.0,3.0,66.0,0.386,1
16.0,0.025,29.0,3.0,66.0,0.47,1
16.0,0.025,29.0,3.0,66.0,0.47,1
16.0,0.026,29.0,3.0,66.0,0.48,1
16.0,0.026,29.0,3.0,66.0,0.48,1
16.0,0.028,29.0,3.0,66.0,0.5,1
16.0,0.028,29.0,3.0,66.0,0.5,1
16.0,0.0044,29.0,2.28,71.0,0.0,1
16.0,0.0044,29.0,2.28,71.0,0.0,1
16.0,0.0045,29.0,2.3,71.0,0.0,1
16.0,0.0045,29.0,2.3,71.0,0.0,1
16.0,0.008,29.0,0.24,60.0,3.0,1
16.0,0.008,29.0,0.24,60.0,3.0,1
16.0,0.009,29.0,0.22,60.0,3.0,1
16.0,0.009,29.0,0.22,60.0,3.0,1
16.0,0.025,29.0,0.9,66.0,1.02,1
16.0,0.023,29.0,0.85,66.0,1.0,1
16.0,0.025,29.0,0.98,66.0,1.0,1
29.0,3.05,66.0,0.267,71.0,0.0,2
29.0,3.05,66.0,0.267,71.0,0.0,2
29.0,3.05,66.0,0.269,71.0,0.0,2
29.0,3.05,66.0,0.269,71.0,0.0,2
29.0,3.06,66.0,0.267,71.0,0.0,2
29.0,3.06,66.0,0.267,71.0,0.0,2
16.0,0.0056,29.0,1.5,66.0,0.76,1
16.0,0.0056,29.0,1.5,66.0,0.76,1
16.0,0.0056,29.0,1.5,66.0,0.76,1
16.0,0.0056,29.0,1.5,66.0,0.76,1
29.0,0.36,32.0,0.0325,69.0,3.0,1
29.0,0.365,32.0,0.033,69.0,3.0,1
29.0,0.366,32.0,0.0335,69.0,3.0,1
69.0,1.9,66.0,0.22,71.0,0.0,2
69.0,1.85,66.0,0.215,71.0,0.0,2
69.0,1.862,67.0,0.0,71.0,0.0,2
