d1,c1,d2,c2,d3,c3,cluster
32.0,0.81,52.0,0.428,35.0,0.785,1
32.0,0.8,52.0,0.428,35.0,0.795,1
8.0,0.284,27.0,0.183,35.0,0.74,1
8.0,0.284,27.0,0.18,35.0,0.78,1
8.0,0.282,27.0,0.18,35.0,0.8,1
8.0,0.28,27.0,0.18,35.0,0.8,1
7.0,0.27,27.0,0.196,35.0,0.75,1
16.0,0.0125,60.0,3.0,66.0,0.41,1
7.0,1.28,48.0,1.62,64.0,1.0,1
7.0,1.315,48.0,1.63,64.0,1.05,1
2.0,1.3,48.0,1.56,64.0,1.0,1
7.0,1.0,48.0,1.223,64.0,0.85,1
7.0,1.05,48.0,1.25,64.0,0.83,1
7.0,1.05,48.0,1.25,64.0,0.83,1
7.0,1.35,48.0,1.83,64.0,0.882,1
7.0,1.35,48.0,1.83,64.0,0.882,1
7.0,1.165,48.0,1.31,64.0,0.764,1
7.0,1.165,48.0,1.31,64.0,0.764,1
7.0,1.382,48.0,1.975,64.0,0.93,1
7.0,1.382,48.0,1.975,64.0,0.93,1
7.0,1.38,48.0,1.97,64.0,0.93,1
7.0,1.38,48.0,1.97,64.0,0.93,1
7.0,1.381,48.0,1.973,64.0,0.93,1
7.0,1.381,48.0,1.973,64.0,0.93,1
21.0,0.18,7.0,1.2,64.0,1.37,2
21.0,0.18,7.0,1.2,64.0,1.37,2
7.0,1.452,48.0,1.684,64.0,0.912,1
7.0,1.45,48.0,1.684,64.0,0.915,1
7.0,1.4,48.0,1.6,64.0,0.93,1
7.0,1.19,48.0,1.223,64.0,0.73,1
16.0,0.065,7.0,1.56,64.0,0.96,2
16.0,0.0646,7.0,1.563,64.0,0.969,2
16.0,0.065,7.0,1.51,64.0,0.96,2
16.0,0.065,7.0,1.55,64.0,0.864,2
7.0,1.385,48.0,1.627,64.0,0.786,1
7.0,1.385,48.0,1.627,64.0,0.786,1
7.0,1.1,49.0,0.0,64.0,0.67,1
7.0,1.1,49.0,0.0,64.0,0.67,1
7.0,1.5,48.0,0.655,64.0,2.45,1
7.0,1.46,48.0,0.64,64.0,2.466,1
16.0,0.064,7.0,1.495,64.0,0.905,2
16.0,0.064,7.0,1.495,64.0,0.905,2
8.0,1.3,52.0,0.34,64.0,0.8,1
8.0,1.5,52.0,0.35,64.0,0.8,1
8.0,1.2,52.0,0.25,64.0,1.0,1
8.0,1.18,52.0,0.29,64.0,0.9,1
8.0,1.2,52.0,0.29,64.0,0.89,1
8.0,1.38,52.0,0.34,64.0,0.98,1
8.0,1.41,52.0,0.34,64.0,1.0,1
52.0,0.34,8.0,1.45,64.0,0.98,2
8.0,1.41,52.0,0.35,64.0,0.95,1
52.0,0.35,64.0,1.0,8.0,1.5,1
8.0,1.51,52.0,0.355,64.0,0.99,1
44.0,2.68,48.0,0.31,64.0,1.015,1
44.0,2.8,48.0,0.33,64.0,1.0,1
44.0,2.75,48.0,0.34,64.0,1.0,1
44.0,2.78,48.0,0.33,64.0,1.0,1
