d1,c1,d2,c2,d3,c3,cluster
16.0,0.063,48.0,0.33,35.0,0.85,2
16.0,0.067,48.0,0.319,35.0,0.89,2
16.0,0.065,48.0,0.3,35.0,0.85,2
16.0,0.12,21.0,0.4,58.0,1.3,1
16.0,0.12,21.0,0.4,58.0,1.3,1
16.0,0.067,48.0,0.3,35.0,0.877,2
16.0,0.067,48.0,0.3,35.0,0.877,2
16.0,0.0675,48.0,0.327,35.0,0.881,2
16.0,0.0675,48.0,0.327,35.0,0.881,2
16.0,0.067,48.0,0.29,35.0,0.88,2
16.0,0.067,48.0,0.29,35.0,0.88,2
16.0,0.06,21.0,0.076,58.0,3.02,1
16.0,0.06,21.0,0.076,58.0,3.02,1
55.0,0.19,58.0,2.05,66.0,0.52,2
55.0,0.19,58.0,2.05,66.0,0.52,2
55.0,0.195,58.0,2.1,66.0,0.52,2
55.0,0.195,58.0,2.1,66.0,0.52,2
19.0,0.098,27.0,0.37,64.0,0.98,1
19.0,0.0995,27.0,0.357,64.0,0.907,1
19.0,0.094,27.0,0.35,64.0,0.89,1
7.0,0.19,27.0,0.206,64.0,1.59,1
7.0,0.19,27.0,0.205,64.0,1.575,1
7.0,0.19,27.0,0.206,64.0,1.606,1
16.0,0.037,23.0,0.3,58.0,3.0,1
16.0,0.0375,23.0,0.28,58.0,3.0,1
16.0,0.038,23.0,0.25,58.0,3.0,1
16.0,0.02,23.0,0.235,58.0,3.0,1
16.0,0.0158,23.0,0.312,58.0,3.0,1
16.0,0.0155,23.0,0.328,58.0,3.0,1
16.0,0.0145,23.0,0.32,58.0,3.0,1
32.0,0.36,7.0,0.412,64.0,2.55,1
16.0,0.06,55.0,1.95,58.0,1.9,2
16.0,0.067,55.0,2.105,58.0,1.854,2
16.0,0.066,55.0,2.13,58.0,1.88,2
16.0,0.0467,48.0,0.694,58.0,3.0,2
16.0,0.047,48.0,0.693,58.0,3.0,2
16.0,0.038,48.0,0.615,58.0,2.38,2
55.0,1.25,58.0,1.0,71.0,0.0,2
55.0,1.563,58.0,1.5,71.0,0.0,2
16.0,0.036,55.0,1.41,58.0,1.6,2
16.0,0.03,55.0,1.68,58.0,1.72,2
16.0,0.03,55.0,1.576,58.0,1.726,2
16.0,0.03,55.0,1.55,58.0,1.726,2
16.0,0.028,55.0,1.73,58.0,1.8,2
16.0,0.028,55.0,1.75,58.0,1.77,2
16.0,0.027,55.0,1.82,58.0,1.772,2
16.0,0.0275,55.0,1.83,58.0,1.774,2
16.0,0.025,55.0,1.9,58.0,1.775,2
16.0,0.0255,55.0,1.92,58.0,1.776,2
16.0,0.025,55.0,1.88,58.0,1.775,2
16.0,0.02,55.0,1.52,58.0,1.432,2
16.0,0.02,55.0,1.9,58.0,1.775,2
16.0,0.02,55.0,1.9,58.0,1.8,2
16.0,0.02,55.0,1.92,58.0,1.81,2
16.0,0.0188,55.0,1.92,58.0,1.81,2
16.0,0.024,55.0,1.88,58.0,1.76,2
16.0,1.018,55.0,1.41,58.0,1.32,2
16.0,0.024,55.0,1.72,58.0,1.77,2
16.0,0.0175,55.0,1.52,58.0,1.32,2
16.0,0.023,55.0,1.72,58.0,1.77,2
16.0,0.0195,55.0,1.47,58.0,1.465,2
16.0,0.0195,55.0,1.5,58.0,1.48,2
16.0,0.023,55.0,1.76,58.0,1.726,2
16.0,0.019,55.0,1.52,58.0,1.38,2
16.0,0.017,55.0,1.53,58.0,1.45,2
16.0,0.016,55.0,1.535,58.0,1.46,2
16.0,0.016,55.0,1.53,58.0,1.4,2
16.0,0.0152,55.0,1.535,58.0,1.387,2
16.0,0.012,55.0,1.54,58.0,1.435,2
16.0,0.012,55.0,1.53,58.0,1.43,2
16.0,0.025,55.0,1.9,58.0,1.775,2
16.0,0.022,58.0,1.3,60.0,2.5,2
16.0,0.04,58.0,0.9,60.0,2.2,2
16.0,0.03,58.0,1.02,60.0,2.2,2
16.0,0.03,58.0,1.06,60.0,2.2,2
16.0,0.029,58.0,0.99,60.0,2.1,2
16.0,0.035,48.0,1.08,58.0,2.7,2
16.0,0.05,48.0,1.0,58.0,3.0,2
16.0,0.0475,48.0,1.0,58.0,2.85,2
16.0,0.0475,48.0,1.1,58.0,2.76,2
16.0,0.0426,48.0,1.0,58.0,2.97,2
16.0,0.0424,48.0,1.1,58.0,2.9,2
16.0,0.038,48.0,1.15,58.0,2.93,2
16.0,0.037,48.0,1.15,58.0,2.93,2
16.0,0.025,48.0,1.19,58.0,3.0,2
16.0,0.025,48.0,1.165,58.0,3.0,2
16.0,0.025,48.0,1.175,58.0,3.0,2
16.0,0.025,48.0,1.163,58.0,2.98,2
16.0,0.015,48.0,1.163,58.0,3.0,2
16.0,0.013,48.0,1.16,58.0,3.0,2
16.0,0.012,48.0,1.16,58.0,3.0,2
16.0,0.0117,48.0,1.16,58.0,3.0,2
16.0,0.012,48.0,1.138,58.0,3.0,2
16.0,0.0117,48.0,1.155,58.0,3.0,2
16.0,0.0125,48.0,1.163,58.0,3.0,2
16.0,0.0125,48.0,1.17,58.0,3.0,2
16.0,0.0138,48.0,1.28,58.0,3.3,2
16.0,0.012,48.0,1.17,58.0,3.0,2
16.0,0.013,48.0,1.15,58.0,3.0,2
16.0,0.0115,48.0,1.12,58.0,3.0,2
16.0,0.03,48.0,1.05,58.0,3.0,2
16.0,0.029,48.0,1.03,58.0,2.97,2
16.0,0.016,48.0,1.113,58.0,2.93,2
16.0,0.0158,48.0,1.11,58.0,2.917,2
16.0,0.0157,48.0,1.113,58.0,2.92,2
16.0,0.0147,48.0,1.115,58.0,2.935,2
16.0,0.0145,48.0,1.114,58.0,2.938,2
16.0,0.0147,48.0,1.112,58.0,2.935,2
16.0,0.0146,48.0,1.112,58.0,2.935,2
16.0,0.0146,48.0,1.112,58.0,2.938,2
16.0,0.0137,48.0,1.13,58.0,3.0,2
16.0,0.0137,48.0,1.13,58.0,3.0,2
58.0,0.855,66.0,0.417,55.0,0.102,2
58.0,0.84,66.0,0.45,55.0,0.105,2
16.0,0.02,55.0,0.136,66.0,1.47,2
16.0,0.045,55.0,0.129,66.0,2.11,2
16.0,0.053,55.0,0.11,66.0,2.0,2
16.0,0.038,55.0,0.116,66.0,1.899,2
16.0,0.0345,55.0,0.121,66.0,1.84,2
16.0,0.032,55.0,0.13,66.0,1.88,2
16.0,0.0325,55.0,0.13,66.0,1.9,2
66.0,1.86,16.0,0.0335,55.0,0.15,1
16.0,0.034,55.0,0.145,66.0,1.86,2
16.0,0.0345,55.0,0.163,66.0,1.78,2
16.0,0.02,55.0,0.136,66.0,1.47,2
16.0,0.035,55.0,0.158,66.0,1.83,2
16.0,0.0348,55.0,0.16,66.0,1.81,2
16.0,0.034,55.0,0.155,66.0,1.8,2
16.0,0.0356,55.0,0.159,66.0,1.83,2
16.0,0.034,55.0,0.17,66.0,1.78,2
16.0,0.035,55.0,0.18,66.0,1.77,2
16.0,0.036,55.0,0.188,66.0,1.78,2
16.0,0.036,55.0,0.19,66.0,1.83,2
16.0,0.036,55.0,0.195,66.0,1.78,2
16.0,0.033,55.0,0.185,66.0,1.763,2
16.0,0.033,55.0,0.181,66.0,1.77,2
16.0,0.033,55.0,0.195,66.0,1.73,2
16.0,0.033,55.0,0.195,66.0,1.73,2
16.0,0.033,55.0,0.197,66.0,1.72,2
16.0,0.033,55.0,0.197,66.0,1.72,2
16.0,0.032,55.0,0.198,66.0,1.7,2
16.0,0.032,55.0,0.198,66.0,1.7,2
16.0,0.033,55.0,0.205,66.0,1.73,2
16.0,0.033,55.0,0.205,66.0,1.73,2
16.0,0.034,55.0,0.216,66.0,1.7,2
16.0,0.035,55.0,0.22,66.0,1.69,2
16.0,0.037,55.0,0.23,66.0,1.68,2
16.0,0.035,55.0,0.24,66.0,1.67,2
16.0,0.037,55.0,0.23,66.0,1.68,2
23.0,0.34,66.0,0.45,58.0,2.12,2
23.0,0.33,66.0,0.47,58.0,2.0,2
23.0,0.34,66.0,0.44,58.0,2.06,2
23.0,0.33,66.0,0.456,58.0,2.0,2
23.0,0.36,66.0,0.52,58.0,1.8,2
23.0,0.36,66.0,0.45,58.0,2.28,2
23.0,0.38,66.0,0.47,58.0,2.0,2
23.0,0.36,66.0,0.39,58.0,2.35,2
23.0,0.38,66.0,0.39,58.0,2.0,2
23.0,0.36,66.0,0.4,58.0,2.0,2
23.0,0.42,66.0,0.323,58.0,2.0,2
23.0,0.34,66.0,0.45,58.0,2.12,2
23.0,0.433,66.0,0.333,58.0,2.06,2
23.0,0.434,66.0,0.329,58.0,2.07,2
23.0,0.44,66.0,0.33,58.0,2.1,2
23.0,0.45,66.0,0.3,58.0,2.08,2
23.0,0.47,66.0,0.26,58.0,2.06,2
23.0,0.33,66.0,0.47,58.0,2.0,2
23.0,0.47,66.0,0.286,58.0,2.08,2
23.0,0.475,66.0,0.26,58.0,2.06,2
23.0,0.44,66.0,0.32,58.0,2.06,2
23.0,0.43,66.0,0.3,58.0,2.038,2
23.0,0.43,66.0,0.297,58.0,2.05,2
23.0,0.429,66.0,0.32,58.0,2.061,2
23.0,0.43,66.0,0.4,58.0,2.042,2
23.0,0.44,66.0,0.32,58.0,2.08,2
23.0,0.34,66.0,0.47,58.0,2.06,2
23.0,0.44,66.0,0.32,58.0,2.06,2
23.0,0.44,58.0,2.06,66.0,0.32,2
16.0,0.05,23.0,0.146,58.0,2.8,1
16.0,0.064,23.0,0.12,58.0,2.85,1
16.0,0.07,23.0,0.1,58.0,3.0,1
16.0,0.067,23.0,0.135,58.0,2.95,1
16.0,0.09,23.0,0.23,58.0,3.0,1
16.0,0.067,23.0,0.143,58.0,2.95,1
16.0,0.042,23.0,0.126,58.0,2.43,1
16.0,0.081,23.0,0.2,58.0,2.7,1
16.0,0.098,23.0,0.21,58.0,2.8,1
16.0,0.068,23.0,0.147,58.0,2.95,1
16.0,0.04,48.0,0.77,58.0,1.2,2
48.0,0.81,58.0,1.26,71.0,0.0,2
16.0,0.041,48.0,0.81,58.0,1.21,2
16.0,0.042,48.0,0.82,58.0,1.21,2
16.0,0.041,48.0,0.85,58.0,1.21,2
16.0,0.039,48.0,0.895,58.0,1.25,2
16.0,0.039,48.0,0.893,58.0,1.24,2
16.0,0.039,48.0,0.898,58.0,1.26,2
16.0,0.039,48.0,0.9,58.0,1.265,2
16.0,0.04,48.0,0.87,58.0,1.22,2
16.0,0.04,48.0,0.8,58.0,1.2,2
16.0,0.04,48.0,0.9,58.0,1.23,2
16.0,0.04,48.0,0.89,58.0,1.227,2
16.0,0.037,48.0,0.92,58.0,1.283,2
16.0,0.037,48.0,0.924,58.0,1.285,2
16.0,0.037,48.0,0.928,58.0,1.288,2
16.0,0.037,48.0,0.93,58.0,1.29,2
16.0,0.035,48.0,0.924,58.0,1.288,2
16.0,0.034,48.0,0.928,58.0,1.29,2
16.0,0.034,48.0,0.93,58.0,1.29,2
16.0,0.034,48.0,0.93,58.0,1.289,2
16.0,0.034,48.0,0.96,58.0,1.35,2
16.0,0.034,48.0,0.95,58.0,1.33,2
16.0,0.034,48.0,0.953,58.0,1.337,2
16.0,0.034,48.0,0.953,58.0,1.34,2
16.0,0.033,48.0,0.953,58.0,1.35,2
16.0,0.032,48.0,0.955,58.0,1.37,2
16.0,0.032,48.0,0.955,58.0,1.36,2
16.0,0.085,55.0,0.086,66.0,1.0,2
52.0,0.35,58.0,0.66,64.0,3.4,2
52.0,0.36,58.0,0.63,64.0,3.3,2
52.0,0.27,58.0,0.465,64.0,2.45,2
52.0,0.36,58.0,0.55,64.0,3.45,2
52.0,0.35,58.0,0.64,64.0,3.42,2
52.0,0.356,58.0,0.58,64.0,3.45,2
52.0,0.3,58.0,0.48,64.0,2.7,2
52.0,0.356,58.0,0.6,64.0,3.45,2
52.0,0.32,58.0,0.52,64.0,2.65,2
52.0,0.288,58.0,0.44,64.0,2.76,2
58.0,0.44,64.0,2.75,52.0,0.28,2
52.0,0.275,58.0,0.5,64.0,2.75,2
52.0,0.25,58.0,0.74,64.0,2.2,2
52.0,0.38,55.0,1.26,58.0,1.46,2
52.0,0.36,55.0,1.29,58.0,1.48,2
52.0,0.353,55.0,1.3,58.0,1.45,2
52.0,0.349,55.0,1.31,58.0,1.436,2
52.0,0.315,55.0,1.54,58.0,1.63,2
52.0,0.32,55.0,1.6,58.0,1.7,2
52.0,0.294,55.0,1.63,58.0,1.54,2
52.0,0.29,55.0,1.64,58.0,1.5,2
52.0,0.29,55.0,1.68,58.0,1.43,2
52.0,0.29,55.0,1.67,58.0,1.45,2
52.0,0.3,55.0,1.7,58.0,1.33,2
52.0,0.3,55.0,1.73,58.0,1.45,2
52.0,0.3,55.0,1.77,58.0,1.25,2
52.0,0.3,55.0,1.8,58.0,1.23,2
52.0,0.3,55.0,1.724,58.0,1.28,2
52.0,0.295,55.0,1.73,58.0,1.27,2
52.0,0.295,55.0,1.698,58.0,1.26,2
52.0,0.286,55.0,1.683,58.0,1.261,2
52.0,0.27,55.0,1.69,58.0,1.2,2
52.0,0.268,55.0,1.695,58.0,1.21,2
52.0,0.269,55.0,1.69,58.0,1.2,2
52.0,0.269,55.0,1.69,58.0,1.2,2
16.0,0.009,48.0,1.03,58.0,1.65,2
16.0,0.0085,48.0,0.94,58.0,1.57,2
16.0,0.009,48.0,0.93,58.0,1.45,2
16.0,0.0085,48.0,0.912,58.0,1.4,2
48.0,0.93,58.0,1.27,16.0,0.012,2
16.0,0.015,48.0,0.91,58.0,1.2,2
16.0,0.017,48.0,0.92,58.0,1.4,2
16.0,0.0143,48.0,0.87,58.0,1.274,2
