d1,c1,d2,c2,d3,c3,cluster
29.0,0.258,31.0,0.029,71.0,0.0,2
29.0,0.258,31.0,0.029,71.0,0.0,2
14.0,0.002,16.0,0.018,60.0,0.21,1
14.0,0.002,16.0,0.02,60.0,0.22,1
14.0,0.024,29.0,0.45,32.0,0.0268,1
14.0,0.024,29.0,0.45,32.0,0.0268,1
14.0,0.022,16.0,0.012,29.0,0.34,1
14.0,0.022,16.0,0.012,29.0,0.34,1
16.0,0.03,60.0,0.235,71.0,0.0,2
16.0,0.03,60.0,0.235,71.0,0.0,2
16.0,0.002,29.0,0.35,31.0,0.039,1
16.0,0.002,29.0,0.35,31.0,0.039,1
14.0,0.039,16.0,0.003,29.0,0.52,1
14.0,0.039,16.0,0.003,29.0,0.52,1
14.0,0.036,16.0,0.006,29.0,0.52,1
14.0,0.036,16.0,0.006,29.0,0.52,1
16.0,0.0028,29.0,0.285,31.0,0.006,1
16.0,0.0028,29.0,0.285,31.0,0.006,1
61.0,0.41,14.0,0.0007,71.0,0.0,2
61.0,0.41,14.0,0.0007,71.0,0.0,2
16.0,0.0036,29.0,0.32,31.0,0.05,1
16.0,0.0036,29.0,0.32,31.0,0.05,1
14.0,0.0044,69.0,2.2,71.0,0.0,2
14.0,0.0045,69.0,2.25,71.0,0.0,2
29.0,0.19,66.0,0.19,71.0,0.0,2
29.0,0.186,66.0,0.14,71.0,0.0,2
29.0,0.185,66.0,0.19,71.0,0.0,2
66.0,0.15,71.0,0.0,71.0,0.0,2
