d1,c1,d2,c2,d3,c3,cluster
32.0,0.24,69.0,3.0,29.0,0.4,2
32.0,1.13,42.0,0.063,29.0,2.12,2
19.0,0.43,6.0,0.175,29.0,2.78,1
32.0,1.38,42.0,0.063,29.0,2.43,2
19.0,0.415,6.0,0.188,29.0,2.94,1
32.0,1.22,42.0,0.075,29.0,2.39,2
32.0,1.2,42.0,0.058,29.0,2.0,2
19.0,0.415,6.0,0.176,29.0,2.8,1
19.0,0.42,6.0,0.18,29.0,2.8,1
32.0,0.159,27.0,0.187,36.0,1.218,2
19.0,0.42,6.0,0.18,29.0,2.8,1
32.0,1.19,42.0,0.059,29.0,2.1,2
32.0,1.33,60.0,1.2,59.0,0.83,2
32.0,0.31,29.0,1.112,58.0,1.55,2
32.0,1.195,42.0,0.059,29.0,2.0,2
32.0,0.418,34.0,0.704,64.0,2.09,2
29.0,2.745,32.0,1.395,42.0,0.11,2
32.0,0.38,29.0,2.81,36.0,1.045,2
16.0,0.1125,29.0,3.0,58.0,1.01,2
32.0,0.45,29.0,0.865,58.0,2.63,2
19.0,0.44,6.0,0.17,29.0,2.78,1
32.0,1.25,60.0,1.15,59.0,0.89,2
32.0,0.23,69.0,3.0,29.0,0.4,2
29.0,0.72,32.0,0.52,61.0,3.0,2
19.0,0.425,6.0,0.17,29.0,2.8,1
32.0,0.25,69.0,3.0,29.0,0.4,2
32.0,0.191,29.0,0.73,60.0,3.1,2
7.0,0.5,48.0,0.49,64.0,1.2,2
32.0,0.3,69.0,3.0,29.0,0.4,2
32.0,0.42,34.0,0.71,64.0,2.1,2
7.0,0.483,48.0,0.495,64.0,1.103,2
32.0,0.26,69.0,3.0,29.0,0.45,2
32.0,0.9,42.0,0.06,29.0,1.8,2
32.0,0.21,29.0,0.66,60.0,3.0,2
16.0,0.114,29.0,3.0,58.0,0.99,2
19.0,0.43,6.0,0.17,29.0,2.78,1
32.0,0.32,29.0,1.38,58.0,1.73,2
32.0,0.39,29.0,2.7,36.0,1.02,2
32.0,0.38,29.0,2.81,36.0,1.05,2
29.0,0.76,32.0,0.53,61.0,3.0,2
32.0,0.4535,29.0,1.79,58.0,0.82,2
32.0,1.35,42.0,0.068,29.0,2.43,2
19.0,0.353,6.0,0.145,29.0,2.347,1
32.0,1.132,42.0,0.064,29.0,2.132,2
32.0,1.132,42.0,0.0648,29.0,2.132,2
7.0,0.522,48.0,0.515,64.0,1.14,2
32.0,0.2,29.0,0.8,60.0,3.0,2
16.0,0.1125,29.0,3.0,58.0,1.01,2
32.0,1.25,60.0,1.15,59.0,0.88,2
32.0,0.38,29.0,2.85,36.0,1.04,2
