d1,c1,d2,c2,d3,c3,cluster
55.0,0.13,66.0,0.35,71.0,0.0,1
55.0,0.127,66.0,0.35,71.0,0.0,1
55.0,0.125,66.0,0.35,71.0,0.0,1
55.0,0.13,66.0,0.36,71.0,0.0,1
17.0,0.021,21.0,0.102,31.0,0.25,2
17.0,0.021,21.0,0.102,31.0,0.25,2
19.0,0.028,27.0,0.21,59.0,0.44,2
19.0,0.028,27.0,0.22,59.0,0.44,2
19.0,0.0276,27.0,0.203,59.0,0.45,2
21.0,0.01,55.0,0.84,59.0,0.73,2
21.0,0.01,55.0,0.83,59.0,0.72,2
21.0,0.011,55.0,0.8,59.0,0.74,2
55.0,0.166,66.0,0.44,71.0,0.0,1
55.0,0.164,68.0,0.0,71.0,0.0,1
55.0,0.165,66.0,0.44,71.0,0.0,1
55.0,0.21,66.0,0.88,71.0,0.0,1
55.0,0.22,66.0,0.878,71.0,0.0,1
55.0,0.235,66.0,0.87,71.0,0.0,1
16.0,0.063,21.0,0.031,31.0,0.36,2
16.0,0.0965,21.0,0.0442,31.0,0.488,2
16.0,0.0965,21.0,0.0442,31.0,0.488,2
16.0,0.0965,21.0,0.044,31.0,0.49,2
16.0,0.0965,21.0,0.044,31.0,0.49,2
66.0,1.18,55.0,0.036,71.0,0.0,1
66.0,1.18,55.0,0.036,71.0,0.0,1
66.0,1.18,55.0,0.035,71.0,0.0,1
66.0,1.18,55.0,0.035,71.0,0.0,1
19.0,0.045,27.0,0.214,59.0,0.485,2
19.0,0.045,27.0,0.214,59.0,0.485,2
16.0,0.095,21.0,0.044,31.0,0.47,2
16.0,0.095,21.0,0.044,31.0,0.47,2
16.0,0.096,21.0,0.046,31.0,0.47,2
16.0,0.096,21.0,0.046,31.0,0.47,2
19.0,0.042,27.0,0.2,59.0,0.48,2
19.0,0.042,27.0,0.2,59.0,0.48,2
55.0,0.15,66.0,0.44,71.0,0.0,1
55.0,0.15,66.0,0.44,71.0,0.0,1
55.0,0.152,66.0,0.48,71.0,0.0,1
