d1,c1,d2,c2,d3,c3,cluster
19.0,0.37,31.0,0.1,48.0,0.65,1
19.0,0.37,31.0,0.1,48.0,0.65,1
19.0,0.38,31.0,0.112,48.0,0.65,1
19.0,0.38,31.0,0.112,48.0,0.65,1
7.0,0.83,52.0,0.365,46.0,0.2,1
7.0,0.83,52.0,0.365,46.0,0.2,1
27.0,0.53,31.0,0.105,32.0,0.757,1
27.0,0.53,31.0,0.105,32.0,0.76,1
27.0,0.54,31.0,0.106,32.0,0.76,1
27.0,0.55,31.0,0.107,32.0,0.76,1
31.0,0.11,7.0,1.34,52.0,1.5,1
31.0,0.11,7.0,1.34,52.0,1.5,1
31.0,0.107,7.0,1.335,52.0,1.45,1
31.0,0.107,7.0,1.335,52.0,1.45,1
31.0,0.109,7.0,1.267,52.0,1.503,1
31.0,0.109,7.0,1.267,52.0,1.503,1
31.0,0.105,7.0,1.391,54.0,0.88,1
31.0,0.102,7.0,1.37,54.0,0.82,1
31.0,0.102,7.0,1.37,54.0,0.82,1
31.0,0.102,7.0,1.37,54.0,0.82,1
7.0,1.18,54.0,0.68,31.0,0.075,1
7.0,1.18,54.0,0.68,31.0,0.075,1
34.0,0.447,48.0,1.0,31.0,0.051,2
34.0,0.45,48.0,1.1,31.0,0.053,2
7.0,0.44,48.0,2.1,31.0,0.036,1
7.0,0.44,48.0,2.1,31.0,0.036,1
7.0,1.5,48.0,2.7,31.0,0.09,1
7.0,1.5,48.0,2.7,31.0,0.09,1
7.0,1.5,48.0,2.69,31.0,0.096,1
7.0,1.5,48.0,2.69,31.0,0.096,1
7.0,1.16,48.0,1.97,31.0,0.09,1
7.0,1.16,48.0,1.97,31.0,0.09,1
44.0,0.952,50.0,2.7,31.0,0.145,2
44.0,1.077,50.0,2.58,31.0,0.16,2
44.0,1.077,50.0,2.58,31.0,0.176,2
44.0,1.1,50.0,2.7,31.0,0.2,2
44.0,0.973,50.0,2.7,31.0,0.177,2
44.0,0.968,50.0,2.75,31.0,0.177,2
44.0,0.968,50.0,2.75,31.0,0.177,2
44.0,0.965,50.0,2.695,31.0,0.176,2
44.0,0.965,50.0,2.695,31.0,0.176,2
44.0,0.98,50.0,2.75,31.0,0.18,2
44.0,0.98,50.0,2.75,31.0,0.18,2
44.0,1.0,50.0,2.7,31.0,0.185,2
44.0,1.0,50.0,2.7,31.0,0.185,2
44.0,1.03,50.0,2.73,31.0,0.187,2
44.0,1.03,50.0,2.73,31.0,0.187,2
44.0,0.973,50.0,2.73,31.0,0.18,2
44.0,0.973,50.0,2.73,31.0,0.18,2
44.0,0.96,50.0,2.7,31.0,0.175,2
44.0,0.96,50.0,2.7,31.0,0.175,2
44.0,0.89,50.0,2.7,31.0,0.135,2
44.0,0.89,50.0,2.7,31.0,0.135,2
44.0,0.92,50.0,2.75,31.0,0.17,2
44.0,0.914,50.0,2.755,31.0,0.167,2
44.0,0.92,50.0,2.78,31.0,0.168,2
44.0,0.914,50.0,2.781,31.0,0.168,2
44.0,0.952,50.0,2.7,31.0,0.145,2
44.0,1.077,50.0,2.58,31.0,0.16,2
44.0,1.077,50.0,2.58,31.0,0.176,2
44.0,1.1,50.0,2.7,31.0,0.2,2
44.0,0.973,50.0,2.7,31.0,0.177,2
44.0,0.85,50.0,2.75,31.0,0.148,2
44.0,0.843,50.0,2.68,31.0,0.148,2
44.0,0.84,50.0,2.68,31.0,0.14,2
44.0,0.842,50.0,2.67,31.0,0.143,2
44.0,0.838,50.0,2.66,31.0,0.142,2
44.0,0.845,50.0,2.58,31.0,0.143,2
44.0,0.83,50.0,2.57,31.0,0.14,2
44.0,0.83,50.0,2.52,31.0,0.149,2
44.0,0.834,50.0,2.55,31.0,0.15,2
44.0,0.84,50.0,2.63,31.0,0.146,2
