d1,c1,d2,c2,d3,c3,cluster
18.0,0.2,27.0,0.178,35.0,0.603,1
14.0,0.15,42.0,0.03,71.0,0.0,2
14.0,0.15,42.0,0.028,71.0,0.0,2
18.0,0.318,31.0,0.237,21.0,0.0043,1
18.0,0.318,31.0,0.237,21.0,0.0043,1
18.0,0.32,31.0,0.24,21.0,0.005,1
18.0,0.32,31.0,0.24,21.0,0.005,1
17.0,0.385,21.0,0.0107,31.0,0.093,1
17.0,0.386,21.0,0.01,31.0,0.095,1
17.0,0.38,21.0,0.009,31.0,0.093,1
17.0,0.385,21.0,0.0104,31.0,0.093,1
16.0,0.105,21.0,0.15,31.0,0.21,1
16.0,0.105,21.0,0.145,31.0,0.205,1
16.0,0.11,21.0,0.156,31.0,0.21,1
19.0,0.385,21.0,0.012,31.0,0.322,1
19.0,0.386,21.0,0.012,31.0,0.33,1
19.0,0.288,27.0,0.192,31.0,0.296,1
19.0,0.216,27.0,0.14,31.0,0.22,1
19.0,0.21,27.0,0.138,31.0,0.218,1
19.0,0.2,27.0,0.13,31.0,0.215,1
19.0,0.27,27.0,0.171,31.0,0.311,1
19.0,0.27,27.0,0.17,31.0,0.313,1
19.0,0.269,27.0,0.175,31.0,0.31,1
19.0,0.27,27.0,0.163,31.0,0.292,1
19.0,0.27,27.0,0.163,31.0,0.292,1
19.0,0.291,27.0,0.18,31.0,0.315,1
19.0,0.291,27.0,0.18,31.0,0.315,1
19.0,0.277,27.0,0.1735,31.0,0.31,1
19.0,0.277,27.0,0.1735,31.0,0.31,1
19.0,0.28,27.0,0.175,31.0,0.32,1
19.0,0.28,27.0,0.175,31.0,0.32,1
19.0,0.26,27.0,0.172,31.0,0.277,1
19.0,0.26,27.0,0.172,31.0,0.277,1
19.0,0.26,27.0,0.175,31.0,0.278,1
19.0,0.26,27.0,0.175,31.0,0.278,1
19.0,0.26,27.0,0.176,31.0,0.278,1
19.0,0.26,27.0,0.176,31.0,0.278,1
19.0,0.368,21.0,0.015,31.0,0.344,1
19.0,0.368,21.0,0.015,31.0,0.344,1
19.0,0.265,31.0,0.23,21.0,0.006,1
19.0,0.268,31.0,0.233,21.0,0.007,1
19.0,0.342,21.0,0.013,31.0,0.334,1
19.0,0.3425,21.0,0.0135,31.0,0.334,1
19.0,0.52,21.0,0.022,31.0,0.49,1
19.0,0.52,21.0,0.022,31.0,0.49,1
19.0,0.53,21.0,0.022,31.0,0.496,1
19.0,0.53,21.0,0.022,31.0,0.496,1
19.0,0.323,21.0,0.0123,31.0,0.277,1
19.0,0.323,21.0,0.0123,31.0,0.277,1
19.0,0.324,21.0,0.0125,31.0,0.278,1
19.0,0.324,21.0,0.0125,31.0,0.278,1
19.0,0.3245,21.0,0.0125,31.0,0.278,1
19.0,0.3245,21.0,0.0125,31.0,0.278,1
19.0,0.323,21.0,0.0123,31.0,0.278,1
19.0,0.323,21.0,0.0123,31.0,0.278,1
19.0,0.4,21.0,0.0132,31.0,0.126,1
19.0,0.4,21.0,0.0132,31.0,0.126,1
19.0,0.4,21.0,0.0126,31.0,0.1256,1
19.0,0.4,21.0,0.0126,31.0,0.1256,1
19.0,0.412,21.0,0.013,31.0,0.1295,1
19.0,0.412,21.0,0.013,31.0,0.1295,1
19.0,0.368,21.0,0.015,31.0,0.344,1
19.0,0.368,21.0,0.015,31.0,0.344,1
19.0,0.3675,21.0,0.0155,31.0,0.343,1
19.0,0.3675,21.0,0.0155,31.0,0.343,1
19.0,0.334,21.0,0.01,31.0,0.2935,1
19.0,0.334,21.0,0.01,31.0,0.2935,1
19.0,0.208,27.0,0.142,31.0,0.2095,1
19.0,0.208,27.0,0.142,31.0,0.2095,1
19.0,0.273,21.0,0.0087,31.0,0.24,1
19.0,0.273,21.0,0.0087,31.0,0.24,1
19.0,0.28,21.0,0.0087,31.0,0.245,1
19.0,0.28,21.0,0.0087,31.0,0.245,1
17.0,0.16,21.0,0.014,31.0,0.14,1
17.0,0.16,21.0,0.014,31.0,0.14,1
17.0,0.27,21.0,0.085,31.0,0.31,1
17.0,0.27,21.0,0.085,31.0,0.31,1
17.0,0.27,21.0,0.083,31.0,0.306,1
17.0,0.27,21.0,0.083,31.0,0.306,1
17.0,0.276,21.0,0.0845,31.0,0.31,1
17.0,0.276,21.0,0.0845,31.0,0.31,1
16.0,0.15,21.0,0.128,31.0,0.14,1
16.0,0.15,21.0,0.128,31.0,0.14,1
17.0,0.164,21.0,0.0505,31.0,0.123,1
17.0,0.164,21.0,0.0505,31.0,0.123,1
19.0,0.253,27.0,0.168,31.0,0.25,1
19.0,0.253,27.0,0.166,31.0,0.251,1
16.0,0.197,27.0,0.176,31.0,0.192,1
16.0,0.197,27.0,0.176,31.0,0.192,1
16.0,0.2,27.0,0.185,31.0,0.195,1
16.0,0.2,27.0,0.185,31.0,0.195,1
16.0,0.21,27.0,0.19,31.0,0.2,1
16.0,0.21,27.0,0.19,31.0,0.2,1
29.0,0.305,32.0,0.66,71.0,0.0,2
29.0,0.305,32.0,0.66,71.0,0.0,2
29.0,0.29,32.0,0.67,71.0,0.0,2
29.0,0.29,32.0,0.67,71.0,0.0,2
19.0,0.7,23.0,0.075,31.0,0.2,1
19.0,0.75,23.0,0.07,31.0,0.18,1
19.0,0.64,23.0,0.078,31.0,0.218,1
19.0,0.644,23.0,0.079,31.0,0.22,1
19.0,0.653,23.0,0.076,31.0,0.222,1
19.0,0.663,23.0,0.074,31.0,0.22,1
19.0,0.65,23.0,0.0823,31.0,0.22,1
19.0,0.66,23.0,0.0818,31.0,0.223,1
19.0,0.631,23.0,0.0825,31.0,0.2086,1
19.0,0.62,23.0,0.09,31.0,0.223,1
19.0,0.615,23.0,0.085,31.0,0.214,1
19.0,0.645,23.0,0.086,31.0,0.218,1
