d1,c1,d2,c2,d3,c3,cluster
8.0,0.44,48.0,0.357,41.0,1.82,2
27.0,0.26,1.0,0.18,64.0,1.85,2
16.0,0.19,58.0,1.4,64.0,1.16,1
8.0,0.497,48.0,0.53,64.0,2.475,2
32.0,0.7,27.0,0.4,64.0,2.2,2
44.0,1.36,48.0,0.3,63.0,2.6,1
52.0,0.25,58.0,0.9,64.0,2.8,1
34.0,1.88,23.0,0.42,64.0,1.96,2
16.0,0.14,44.0,0.55,58.0,3.0,2
16.0,0.0146,48.0,1.114,58.0,2.942,2
7.0,1.845,21.0,0.163,64.0,1.9,2
44.0,0.59,48.0,1.95,64.0,1.96,1
8.0,0.37,48.0,0.26,64.0,3.0,2
32.0,0.412,34.0,0.68,64.0,2.05,2
44.0,0.833,48.0,0.458,64.0,3.18,1
34.0,1.953,23.0,0.397,64.0,1.705,2
21.0,0.186,7.0,1.925,64.0,1.91,2
16.0,0.1,7.0,0.848,64.0,1.67,2
34.0,0.38,48.0,0.66,64.0,2.72,1
52.0,0.23,58.0,0.8,64.0,3.0,1
21.0,0.215,7.0,1.52,64.0,1.47,2
7.0,1.3,48.0,1.65,64.0,1.03,2
16.0,0.18,58.0,1.385,64.0,1.03,1
34.0,0.33,48.0,0.48,64.0,2.47,1
34.0,0.315,48.0,0.44,64.0,0.84,1
34.0,0.595,48.0,0.65,64.0,2.755,1
44.0,0.91,48.0,0.465,64.0,2.69,1
34.0,0.34,48.0,0.368,64.0,0.9,1
7.0,0.435,48.0,1.0,64.0,2.59,2
7.0,0.594,48.0,0.627,64.0,1.958,2
27.0,0.0247,7.0,0.588,64.0,1.69,2
8.0,0.85,27.0,0.33,64.0,1.46,2
8.0,0.5,48.0,0.48,64.0,2.25,2
52.0,0.29,35.0,0.45,64.0,2.45,1
52.0,0.224,58.0,0.72,64.0,2.24,1
8.0,0.47,27.0,0.375,58.0,2.62,2
7.0,0.48,48.0,1.0,64.0,2.6,2
44.0,0.61,48.0,2.08,64.0,2.27,1
52.0,0.31,58.0,0.88,64.0,2.65,1
8.0,1.3,48.0,1.54,64.0,1.11,2
52.0,0.272,35.0,0.615,64.0,3.0,1
34.0,1.855,23.0,0.39,64.0,1.98,2
34.0,0.626,48.0,0.6,64.0,2.848,1
7.0,1.657,48.0,0.789,64.0,1.563,2
16.0,0.29,58.0,2.3,64.0,1.03,1
34.0,1.8,23.0,0.44,64.0,1.81,2
21.0,0.196,7.0,2.08,64.0,1.87,2
32.0,0.761,27.0,0.437,64.0,2.813,2
32.0,0.785,27.0,0.435,64.0,2.9,2
7.0,0.666,48.0,0.645,64.0,2.21,2
