d1,c1,d2,c2,d3,c3,cluster
44.0,2.0,52.0,0.15,31.0,0.028,1
8.0,1.24,52.0,0.3,31.0,0.035,2
34.0,1.18,54.0,0.62,31.0,0.046,1
21.0,0.0276,31.0,0.048,7.0,0.436,2
34.0,1.065,50.0,1.014,48.0,1.3,1
32.0,0.8,42.0,0.34,31.0,0.094,1
44.0,2.0,52.0,0.13,31.0,0.025,1
32.0,0.475,42.0,0.59,31.0,0.08,1
44.0,2.0,52.0,0.15,31.0,0.03,1
21.0,0.024,31.0,0.0372,7.0,0.438,2
34.0,0.96,52.0,0.9,31.0,0.035,1
32.0,0.97,7.0,0.77,31.0,0.083,1
8.0,1.35,52.0,0.32,31.0,0.03,2
8.0,1.15,52.0,0.28,31.0,0.033,2
32.0,0.948,7.0,0.745,31.0,0.078,1
44.0,2.65,52.0,0.2,31.0,0.04,1
32.0,0.807,7.0,0.5,31.0,0.057,1
34.0,0.98,52.0,0.78,31.0,0.038,1
16.0,0.176,23.0,0.41,31.0,0.024,2
44.0,2.6,52.0,0.189,31.0,0.0477,1
32.0,0.92,7.0,0.504,31.0,0.073,1
44.0,2.65,52.0,0.185,31.0,0.03,1
32.0,0.45,42.0,0.63,31.0,0.08,1
32.0,0.657,42.0,0.618,31.0,0.078,1
32.0,0.45,42.0,0.557,31.0,0.075,1
34.0,0.72,54.0,0.17,31.0,0.463,1
32.0,0.95,7.0,0.63,31.0,0.06,1
32.0,0.94,7.0,0.72,31.0,0.08,1
44.0,2.53,52.0,0.165,31.0,0.04,1
47.0,2.55,48.0,1.365,55.0,0.4,1
21.0,0.029,31.0,0.049,7.0,0.44,2
32.0,0.36,42.0,0.66,31.0,0.093,1
34.0,1.26,54.0,0.63,31.0,0.048,1
44.0,1.9,52.0,0.12,31.0,0.026,1
32.0,0.78,7.0,0.6,31.0,0.059,1
8.0,1.35,52.0,0.36,31.0,0.037,2
7.0,1.5,54.0,0.9,31.0,0.095,2
44.0,2.6,52.0,0.19,31.0,0.032,1
34.0,1.267,54.0,0.594,31.0,0.048,1
44.0,2.55,52.0,0.16,31.0,0.035,1
8.0,1.245,52.0,0.29,31.0,0.033,2
7.0,0.88,50.0,0.97,48.0,1.05,2
32.0,0.604,42.0,0.51,31.0,0.067,1
44.0,2.55,52.0,0.18,31.0,0.038,1
7.0,0.97,52.0,0.837,31.0,0.045,2
21.0,0.0257,31.0,0.0385,7.0,0.446,2
44.0,2.62,52.0,0.17,31.0,0.036,1
47.0,2.55,48.0,1.31,55.0,0.38,1
32.0,0.52,42.0,0.543,31.0,0.075,1
32.0,0.34,50.0,1.31,31.0,0.044,1
