d1,c1,d2,c2,d3,c3,cluster
32.0,0.039,42.0,1.0,51.0,1.62,2
32.0,0.0395,42.0,1.0,50.0,1.63,2
32.0,0.039,42.0,1.0,50.0,1.66,2
42.0,0.58,50.0,2.8,46.0,0.315,2
42.0,0.58,50.0,2.88,46.0,0.315,2
42.0,0.56,50.0,2.68,46.0,0.25,2
7.0,0.875,46.0,0.4,52.0,0.183,1
7.0,0.87,46.0,0.41,52.0,0.18,1
32.0,0.11,53.0,1.2,71.0,0.0,2
32.0,0.1,53.0,1.3,71.0,0.0,2
32.0,0.105,53.0,1.1,52.0,0.008,2
32.0,0.108,53.0,1.118,52.0,0.0083,2
16.0,0.093,50.0,1.08,52.0,0.226,2
16.0,0.095,50.0,1.07,52.0,0.232,2
16.0,0.1,53.0,1.009,71.0,0.0,1
16.0,0.11,53.0,0.957,71.0,0.0,1
16.0,0.105,53.0,1.03,71.0,0.0,1
16.0,0.106,53.0,1.05,71.0,0.0,1
16.0,0.08,50.0,0.935,52.0,0.175,2
16.0,0.08,50.0,0.935,52.0,0.175,2
16.0,0.08,50.0,0.935,52.0,0.176,2
16.0,0.08,50.0,0.935,52.0,0.176,2
16.0,0.079,50.0,0.938,52.0,0.177,2
16.0,0.079,50.0,0.938,52.0,0.177,2
32.0,0.055,42.0,0.057,53.0,0.88,2
32.0,0.055,42.0,0.057,53.0,0.88,2
32.0,0.054,42.0,0.056,53.0,0.87,2
32.0,0.054,42.0,0.056,53.0,0.87,2
46.0,1.37,47.0,1.72,52.0,0.6,2
46.0,1.38,47.0,1.7,52.0,0.63,2
46.0,0.67,47.0,1.2,52.0,0.68,2
46.0,0.678,47.0,1.19,52.0,0.655,2
46.0,0.65,47.0,1.18,52.0,0.65,2
46.0,0.919,47.0,1.08,52.0,0.583,2
16.0,0.112,50.0,0.96,52.0,0.32,2
16.0,0.113,50.0,0.95,52.0,0.35,2
16.0,0.11,50.0,0.93,52.0,0.32,2
25.0,0.31,47.0,0.782,55.0,0.265,2
25.0,0.31,47.0,0.782,55.0,0.265,2
25.0,0.3,47.0,0.784,55.0,0.268,2
25.0,0.3,47.0,0.784,55.0,0.268,2
42.0,0.62,50.0,2.8,52.0,0.113,2
42.0,0.62,50.0,2.8,52.0,0.113,2
42.0,0.605,50.0,2.82,52.0,0.112,2
42.0,0.605,50.0,2.82,52.0,0.112,2
16.0,0.113,50.0,1.05,52.0,0.34,2
16.0,0.113,50.0,1.05,52.0,0.34,2
16.0,0.11,50.0,1.03,52.0,0.32,2
16.0,0.11,50.0,1.03,52.0,0.32,2
42.0,1.65,50.0,1.92,52.0,0.08,2
42.0,1.65,50.0,1.92,52.0,0.08,2
16.0,0.062,50.0,0.58,52.0,0.075,2
16.0,0.062,50.0,0.58,52.0,0.075,2
16.0,0.0635,50.0,0.595,52.0,0.074,2
16.0,0.0635,50.0,0.595,52.0,0.074,2
16.0,0.0955,50.0,0.912,52.0,0.214,2
16.0,0.0955,50.0,0.912,52.0,0.214,2
25.0,0.5,55.0,0.251,47.0,0.5,2
25.0,0.5,55.0,0.251,47.0,0.5,2
25.0,0.48,55.0,0.253,47.0,0.515,2
25.0,0.48,55.0,0.253,47.0,0.515,2
25.0,0.5,55.0,0.256,47.0,0.5,2
25.0,0.5,55.0,0.256,47.0,0.5,2
16.0,0.103,50.0,1.095,52.0,0.305,2
16.0,0.103,50.0,1.095,52.0,0.305,2
16.0,0.103,50.0,1.098,52.0,0.3,2
16.0,0.103,50.0,1.098,52.0,0.3,2
16.0,0.0535,50.0,0.45,52.0,0.064,2
16.0,0.0535,50.0,0.45,52.0,0.064,2
16.0,0.054,50.0,0.453,52.0,0.0655,2
16.0,0.054,50.0,0.453,52.0,0.0655,2
16.0,0.0536,50.0,0.45,52.0,0.065,2
16.0,0.0536,50.0,0.45,52.0,0.065,2
32.0,0.05,52.0,0.21,71.0,0.0,2
32.0,0.05,52.0,0.21,71.0,0.0,2
25.0,0.95,55.0,0.25,47.0,0.23,2
25.0,0.95,55.0,0.25,47.0,0.23,2
25.0,1.13,55.0,0.25,47.0,0.215,2
25.0,1.13,55.0,0.25,47.0,0.215,2
32.0,0.07,42.0,1.12,50.0,1.93,2
32.0,0.07,42.0,1.12,50.0,1.93,2
32.0,0.06,42.0,1.15,50.0,1.9,2
32.0,0.06,42.0,1.15,50.0,1.9,2
32.0,0.068,42.0,1.15,50.0,1.95,2
32.0,0.068,42.0,1.15,50.0,1.95,2
16.0,0.044,50.0,0.415,52.0,0.048,2
16.0,0.044,50.0,0.415,52.0,0.048,2
16.0,0.042,50.0,0.4,52.0,0.05,2
16.0,0.042,50.0,0.4,52.0,0.05,2
16.0,0.048,50.0,0.42,52.0,0.06,2
16.0,0.048,50.0,0.42,52.0,0.06,2
32.0,0.046,52.0,0.23,71.0,0.0,2
32.0,0.046,52.0,0.23,71.0,0.0,2
46.0,0.93,47.0,1.45,52.0,0.6,2
46.0,0.93,47.0,1.45,52.0,0.6,2
46.0,1.1,47.0,1.47,52.0,0.64,2
46.0,1.1,47.0,1.47,52.0,0.64,2
16.0,0.09,54.0,1.14,71.0,0.0,1
16.0,0.09,54.0,1.14,71.0,0.0,1
16.0,0.09,54.0,1.14,71.0,0.0,1
16.0,0.09,54.0,1.15,71.0,0.0,1
16.0,0.09,54.0,1.15,71.0,0.0,1
16.0,0.09,54.0,1.15,71.0,0.0,1
16.0,0.1,54.0,1.14,71.0,0.0,1
16.0,0.1,54.0,1.14,71.0,0.0,1
16.0,0.1,54.0,1.14,71.0,0.0,1
42.0,1.488,50.0,2.256,52.0,0.029,2
42.0,1.488,50.0,2.256,52.0,0.029,2
42.0,1.53,50.0,1.92,52.0,0.08,2
42.0,1.53,50.0,1.92,52.0,0.08,2
43.0,1.56,50.0,1.92,52.0,0.09,2
43.0,1.56,50.0,1.92,52.0,0.09,2
42.0,1.54,50.0,1.9,52.0,0.095,2
42.0,1.54,50.0,1.9,52.0,0.095,2
32.0,0.05,42.0,0.052,54.0,0.88,2
32.0,0.046,42.0,0.052,54.0,0.87,2
32.0,0.048,42.0,0.052,70.0,0.88,2
16.0,0.116,54.0,1.03,52.0,0.029,2
16.0,0.116,54.0,1.03,52.0,0.029,2
16.0,0.117,54.0,1.05,52.0,0.03,2
16.0,0.117,54.0,1.05,52.0,0.03,2
46.0,0.95,47.0,1.66,52.0,1.08,2
46.0,0.95,47.0,1.66,52.0,1.08,2
16.0,0.099,54.0,0.96,52.0,0.025,2
16.0,0.099,54.0,0.96,52.0,0.025,2
16.0,0.046,54.0,1.0,42.0,0.085,2
16.0,0.046,54.0,1.0,42.0,0.085,2
7.0,0.808,52.0,0.369,46.0,0.219,1
7.0,0.808,52.0,0.369,46.0,0.219,1
7.0,0.808,52.0,0.373,46.0,0.22,1
7.0,0.808,52.0,0.373,46.0,0.22,1
47.0,1.8,50.0,1.26,71.0,0.0,2
47.0,1.8,50.0,1.26,71.0,0.0,2
32.0,0.1,54.0,1.3,42.0,0.026,2
32.0,0.1,54.0,1.3,42.0,0.026,2
32.0,0.093,54.0,1.23,42.0,0.025,2
32.0,0.093,54.0,1.23,42.0,0.025,2
32.0,0.09,54.0,1.3,71.0,0.0,2
32.0,0.09,54.0,1.3,71.0,0.0,2
7.0,0.683,52.0,0.174,46.0,0.25,1
42.0,0.87,50.0,2.61,52.0,0.63,2
42.0,0.93,50.0,2.75,52.0,0.55,2
42.0,0.9,50.0,2.45,52.0,0.67,2
42.0,0.9,50.0,2.47,52.0,0.65,2
42.0,0.931,50.0,3.0,52.0,0.475,2
42.0,0.93,50.0,3.0,52.0,0.476,2
42.0,0.93,50.0,2.95,52.0,0.5,2
32.0,0.26,42.0,0.66,54.0,1.35,2
32.0,0.26,42.0,0.66,54.0,1.35,2
32.0,0.27,42.0,0.73,54.0,1.43,2
32.0,0.27,42.0,0.73,54.0,1.43,2
32.0,0.276,42.0,0.71,54.0,1.437,2
32.0,0.276,42.0,0.71,54.0,1.437,2
32.0,0.168,42.0,0.6,54.0,1.05,2
32.0,0.168,42.0,0.6,54.0,1.05,2
32.0,0.16,42.0,0.58,54.0,1.02,2
32.0,0.16,42.0,0.58,54.0,1.02,2
32.0,0.135,42.0,0.63,54.0,1.03,2
32.0,0.135,42.0,0.63,54.0,1.03,2
16.0,0.11,50.0,1.03,52.0,0.32,2
16.0,0.11,50.0,1.03,52.0,0.32,2
16.0,0.11,50.0,1.0,52.0,0.32,2
16.0,0.11,50.0,1.0,52.0,0.32,2
27.0,0.42,32.0,1.336,31.0,0.0028,2
27.0,0.416,32.0,1.287,31.0,0.0032,2
32.0,1.238,27.0,0.384,31.0,0.0013,2
32.0,1.238,27.0,0.384,31.0,0.0013,2
7.0,0.27,52.0,0.304,31.0,0.008,2
7.0,0.256,52.0,0.289,71.0,0.0,1
7.0,0.27,52.0,0.3,71.0,0.0,1
7.0,0.265,52.0,0.298,71.0,0.0,1
50.0,0.112,47.0,0.95,31.0,0.016,2
50.0,0.109,47.0,0.942,31.0,0.0155,2
50.0,0.107,47.0,0.953,31.0,0.0165,2
48.0,0.4,71.0,0.0,71.0,0.0,2
42.0,1.346,50.0,2.1,52.0,0.03,2
42.0,1.057,50.0,1.515,71.0,0.0,2
42.0,1.068,50.0,1.53,71.0,0.0,2
25.0,0.717,26.0,1.315,47.0,0.334,1
25.0,0.675,26.0,1.33,47.0,0.34,1
42.0,0.977,50.0,2.8,52.0,0.223,2
42.0,0.977,50.0,2.8,52.0,0.223,2
42.0,0.98,50.0,2.8,52.0,0.223,2
42.0,0.98,50.0,2.8,52.0,0.223,2
